code,state_code,full_code,name,chamber,type,level,open_states_name
010,36,36010-upper,10,upper,StateDistrict,state,10
011,36,36011-upper,11,upper,StateDistrict,state,11
017,36,36017-upper,17,upper,StateDistrict,state,17
023,36,36023-upper,23,upper,StateDistrict,state,23
028,36,36028-upper,28,upper,StateDistrict,state,28
030,36,36030-upper,30,upper,StateDistrict,state,30
003,36,36003-upper,3,upper,StateDistrict,state,3
035,36,36035-upper,35,upper,StateDistrict,state,35
039,36,36039-upper,39,upper,StateDistrict,state,39
040,36,36040-upper,40,upper,StateDistrict,state,40
044,36,36044-upper,44,upper,StateDistrict,state,44
050,36,36050-upper,50,upper,StateDistrict,state,50
005,36,36005-upper,5,upper,StateDistrict,state,5
056,36,36056-upper,56,upper,StateDistrict,state,56
060,36,36060-upper,60,upper,StateDistrict,state,60
006,36,36006-upper,6,upper,StateDistrict,state,6
007,36,36007-upper,7,upper,StateDistrict,state,7
009,36,36009-upper,9,upper,StateDistrict,state,9
001,36,36001-upper,1,upper,StateDistrict,state,1
012,36,36012-upper,12,upper,StateDistrict,state,12
014,36,36014-upper,14,upper,StateDistrict,state,14
015,36,36015-upper,15,upper,StateDistrict,state,15
016,36,36016-upper,16,upper,StateDistrict,state,16
018,36,36018-upper,18,upper,StateDistrict,state,18
020,36,36020-upper,20,upper,StateDistrict,state,20
021,36,36021-upper,21,upper,StateDistrict,state,21
002,36,36002-upper,2,upper,StateDistrict,state,2
022,36,36022-upper,22,upper,StateDistrict,state,22
024,36,36024-upper,24,upper,StateDistrict,state,24
029,36,36029-upper,29,upper,StateDistrict,state,29
032,36,36032-upper,32,upper,StateDistrict,state,32
036,36,36036-upper,36,upper,StateDistrict,state,36
004,36,36004-upper,4,upper,StateDistrict,state,4
042,36,36042-upper,42,upper,StateDistrict,state,42
043,36,36043-upper,43,upper,StateDistrict,state,43
045,36,36045-upper,45,upper,StateDistrict,state,45
047,36,36047-upper,47,upper,StateDistrict,state,47
048,36,36048-upper,48,upper,StateDistrict,state,48
049,36,36049-upper,49,upper,StateDistrict,state,49
051,36,36051-upper,51,upper,StateDistrict,state,51
053,36,36053-upper,53,upper,StateDistrict,state,53
055,36,36055-upper,55,upper,StateDistrict,state,55
058,36,36058-upper,58,upper,StateDistrict,state,58
059,36,36059-upper,59,upper,StateDistrict,state,59
061,36,36061-upper,61,upper,StateDistrict,state,61
062,36,36062-upper,62,upper,StateDistrict,state,62
027,36,36027-upper,27,upper,StateDistrict,state,27
031,36,36031-upper,31,upper,StateDistrict,state,31
034,36,36034-upper,34,upper,StateDistrict,state,34
038,36,36038-upper,38,upper,StateDistrict,state,38
025,36,36025-upper,25,upper,StateDistrict,state,25
037,36,36037-upper,37,upper,StateDistrict,state,37
054,36,36054-upper,54,upper,StateDistrict,state,54
008,36,36008-upper,8,upper,StateDistrict,state,8
013,36,36013-upper,13,upper,StateDistrict,state,13
019,36,36019-upper,19,upper,StateDistrict,state,19
026,36,36026-upper,26,upper,StateDistrict,state,26
033,36,36033-upper,33,upper,StateDistrict,state,33
041,36,36041-upper,41,upper,StateDistrict,state,41
046,36,36046-upper,46,upper,StateDistrict,state,46
052,36,36052-upper,52,upper,StateDistrict,state,52
063,36,36063-upper,63,upper,StateDistrict,state,63
057,36,36057-upper,57,upper,StateDistrict,state,57
