code,state_code,full_code,name,chamber,type,level,open_states_name
015,37,37015-lower,15,lower,StateDistrict,state,15
110,37,37110-lower,110,lower,StateDistrict,state,110
111,37,37111-lower,111,lower,StateDistrict,state,111
113,37,37113-lower,113,lower,StateDistrict,state,113
115,37,37115-lower,115,lower,StateDistrict,state,115
116,37,37116-lower,116,lower,StateDistrict,state,116
117,37,37117-lower,117,lower,StateDistrict,state,117
118,37,37118-lower,118,lower,StateDistrict,state,118
119,37,37119-lower,119,lower,StateDistrict,state,119
012,37,37012-lower,12,lower,StateDistrict,state,12
018,37,37018-lower,18,lower,StateDistrict,state,18
021,37,37021-lower,21,lower,StateDistrict,state,21
002,37,37002-lower,2,lower,StateDistrict,state,2
022,37,37022-lower,22,lower,StateDistrict,state,22
023,37,37023-lower,23,lower,StateDistrict,state,23
026,37,37026-lower,26,lower,StateDistrict,state,26
027,37,37027-lower,27,lower,StateDistrict,state,27
028,37,37028-lower,28,lower,StateDistrict,state,28
030,37,37030-lower,30,lower,StateDistrict,state,30
032,37,37032-lower,32,lower,StateDistrict,state,32
035,37,37035-lower,35,lower,StateDistrict,state,35
037,37,37037-lower,37,lower,StateDistrict,state,37
039,37,37039-lower,39,lower,StateDistrict,state,39
040,37,37040-lower,40,lower,StateDistrict,state,40
004,37,37004-lower,4,lower,StateDistrict,state,4
042,37,37042-lower,42,lower,StateDistrict,state,42
043,37,37043-lower,43,lower,StateDistrict,state,43
044,37,37044-lower,44,lower,StateDistrict,state,44
046,37,37046-lower,46,lower,StateDistrict,state,46
047,37,37047-lower,47,lower,StateDistrict,state,47
048,37,37048-lower,48,lower,StateDistrict,state,48
049,37,37049-lower,49,lower,StateDistrict,state,49
051,37,37051-lower,51,lower,StateDistrict,state,51
052,37,37052-lower,52,lower,StateDistrict,state,52
073,37,37073-lower,73,lower,StateDistrict,state,73
005,37,37005-lower,5,lower,StateDistrict,state,5
082,37,37082-lower,82,lower,StateDistrict,state,82
053,37,37053-lower,53,lower,StateDistrict,state,53
055,37,37055-lower,55,lower,StateDistrict,state,55
057,37,37057-lower,57,lower,StateDistrict,state,57
059,37,37059-lower,59,lower,StateDistrict,state,59
060,37,37060-lower,60,lower,StateDistrict,state,60
064,37,37064-lower,64,lower,StateDistrict,state,64
065,37,37065-lower,65,lower,StateDistrict,state,65
066,37,37066-lower,66,lower,StateDistrict,state,66
067,37,37067-lower,67,lower,StateDistrict,state,67
068,37,37068-lower,68,lower,StateDistrict,state,68
071,37,37071-lower,71,lower,StateDistrict,state,71
007,37,37007-lower,7,lower,StateDistrict,state,7
074,37,37074-lower,74,lower,StateDistrict,state,74
076,37,37076-lower,76,lower,StateDistrict,state,76
077,37,37077-lower,77,lower,StateDistrict,state,77
078,37,37078-lower,78,lower,StateDistrict,state,78
079,37,37079-lower,79,lower,StateDistrict,state,79
081,37,37081-lower,81,lower,StateDistrict,state,81
008,37,37008-lower,8,lower,StateDistrict,state,8
083,37,37083-lower,83,lower,StateDistrict,state,83
086,37,37086-lower,86,lower,StateDistrict,state,86
087,37,37087-lower,87,lower,StateDistrict,state,87
089,37,37089-lower,89,lower,StateDistrict,state,89
090,37,37090-lower,90,lower,StateDistrict,state,90
091,37,37091-lower,91,lower,StateDistrict,state,91
093,37,37093-lower,93,lower,StateDistrict,state,93
096,37,37096-lower,96,lower,StateDistrict,state,96
014,37,37014-lower,14,lower,StateDistrict,state,14
010,37,37010-lower,10,lower,StateDistrict,state,10
107,37,37107-lower,107,lower,StateDistrict,state,107
102,37,37102-lower,102,lower,StateDistrict,state,102
104,37,37104-lower,104,lower,StateDistrict,state,104
106,37,37106-lower,106,lower,StateDistrict,state,106
108,37,37108-lower,108,lower,StateDistrict,state,108
109,37,37109-lower,109,lower,StateDistrict,state,109
011,37,37011-lower,11,lower,StateDistrict,state,11
112,37,37112-lower,112,lower,StateDistrict,state,112
013,37,37013-lower,13,lower,StateDistrict,state,13
016,37,37016-lower,16,lower,StateDistrict,state,16
017,37,37017-lower,17,lower,StateDistrict,state,17
019,37,37019-lower,19,lower,StateDistrict,state,19
029,37,37029-lower,29,lower,StateDistrict,state,29
003,37,37003-lower,3,lower,StateDistrict,state,3
033,37,37033-lower,33,lower,StateDistrict,state,33
034,37,37034-lower,34,lower,StateDistrict,state,34
038,37,37038-lower,38,lower,StateDistrict,state,38
056,37,37056-lower,56,lower,StateDistrict,state,56
058,37,37058-lower,58,lower,StateDistrict,state,58
061,37,37061-lower,61,lower,StateDistrict,state,61
006,37,37006-lower,6,lower,StateDistrict,state,6
070,37,37070-lower,70,lower,StateDistrict,state,70
072,37,37072-lower,72,lower,StateDistrict,state,72
084,37,37084-lower,84,lower,StateDistrict,state,84
088,37,37088-lower,88,lower,StateDistrict,state,88
094,37,37094-lower,94,lower,StateDistrict,state,94
095,37,37095-lower,95,lower,StateDistrict,state,95
097,37,37097-lower,97,lower,StateDistrict,state,97
098,37,37098-lower,98,lower,StateDistrict,state,98
101,37,37101-lower,101,lower,StateDistrict,state,101
100,37,37100-lower,100,lower,StateDistrict,state,100
103,37,37103-lower,103,lower,StateDistrict,state,103
105,37,37105-lower,105,lower,StateDistrict,state,105
114,37,37114-lower,114,lower,StateDistrict,state,114
001,37,37001-lower,1,lower,StateDistrict,state,1
120,37,37120-lower,120,lower,StateDistrict,state,120
020,37,37020-lower,20,lower,StateDistrict,state,20
024,37,37024-lower,24,lower,StateDistrict,state,24
025,37,37025-lower,25,lower,StateDistrict,state,25
031,37,37031-lower,31,lower,StateDistrict,state,31
036,37,37036-lower,36,lower,StateDistrict,state,36
041,37,37041-lower,41,lower,StateDistrict,state,41
045,37,37045-lower,45,lower,StateDistrict,state,45
050,37,37050-lower,50,lower,StateDistrict,state,50
054,37,37054-lower,54,lower,StateDistrict,state,54
062,37,37062-lower,62,lower,StateDistrict,state,62
063,37,37063-lower,63,lower,StateDistrict,state,63
069,37,37069-lower,69,lower,StateDistrict,state,69
075,37,37075-lower,75,lower,StateDistrict,state,75
080,37,37080-lower,80,lower,StateDistrict,state,80
085,37,37085-lower,85,lower,StateDistrict,state,85
009,37,37009-lower,9,lower,StateDistrict,state,9
092,37,37092-lower,92,lower,StateDistrict,state,92
099,37,37099-lower,99,lower,StateDistrict,state,99
