code,state_code,full_code,name,chamber,type,level,open_states_name
010,37,37010-upper,10,upper,StateDistrict,state,10
001,37,37001-upper,1,upper,StateDistrict,state,1
013,37,37013-upper,13,upper,StateDistrict,state,13
014,37,37014-upper,14,upper,StateDistrict,state,14
018,37,37018-upper,18,upper,StateDistrict,state,18
020,37,37020-upper,20,upper,StateDistrict,state,20
021,37,37021-upper,21,upper,StateDistrict,state,21
025,37,37025-upper,25,upper,StateDistrict,state,25
026,37,37026-upper,26,upper,StateDistrict,state,26
003,37,37003-upper,3,upper,StateDistrict,state,3
032,37,37032-upper,32,upper,StateDistrict,state,32
034,37,37034-upper,34,upper,StateDistrict,state,34
035,37,37035-upper,35,upper,StateDistrict,state,35
039,37,37039-upper,39,upper,StateDistrict,state,39
004,37,37004-upper,4,upper,StateDistrict,state,4
047,37,37047-upper,47,upper,StateDistrict,state,47
005,37,37005-upper,5,upper,StateDistrict,state,5
011,37,37011-upper,11,upper,StateDistrict,state,11
015,37,37015-upper,15,upper,StateDistrict,state,15
016,37,37016-upper,16,upper,StateDistrict,state,16
019,37,37019-upper,19,upper,StateDistrict,state,19
022,37,37022-upper,22,upper,StateDistrict,state,22
023,37,37023-upper,23,upper,StateDistrict,state,23
024,37,37024-upper,24,upper,StateDistrict,state,24
027,37,37027-upper,27,upper,StateDistrict,state,27
030,37,37030-upper,30,upper,StateDistrict,state,30
031,37,37031-upper,31,upper,StateDistrict,state,31
033,37,37033-upper,33,upper,StateDistrict,state,33
037,37,37037-upper,37,upper,StateDistrict,state,37
038,37,37038-upper,38,upper,StateDistrict,state,38
041,37,37041-upper,41,upper,StateDistrict,state,41
042,37,37042-upper,42,upper,StateDistrict,state,42
043,37,37043-upper,43,upper,StateDistrict,state,43
044,37,37044-upper,44,upper,StateDistrict,state,44
045,37,37045-upper,45,upper,StateDistrict,state,45
048,37,37048-upper,48,upper,StateDistrict,state,48
049,37,37049-upper,49,upper,StateDistrict,state,49
050,37,37050-upper,50,upper,StateDistrict,state,50
008,37,37008-upper,8,upper,StateDistrict,state,8
009,37,37009-upper,9,upper,StateDistrict,state,9
017,37,37017-upper,17,upper,StateDistrict,state,17
029,37,37029-upper,29,upper,StateDistrict,state,29
036,37,37036-upper,36,upper,StateDistrict,state,36
006,37,37006-upper,6,upper,StateDistrict,state,6
012,37,37012-upper,12,upper,StateDistrict,state,12
002,37,37002-upper,2,upper,StateDistrict,state,2
028,37,37028-upper,28,upper,StateDistrict,state,28
040,37,37040-upper,40,upper,StateDistrict,state,40
046,37,37046-upper,46,upper,StateDistrict,state,46
007,37,37007-upper,7,upper,StateDistrict,state,7
