code,state_code,full_code,name,chamber,type,level,open_states_name
019,38,38019-upper,19,upper,StateDistrict,state,19
042,38,38042-upper,42,upper,StateDistrict,state,42
010,38,38010-upper,10,upper,StateDistrict,state,10
011,38,38011-upper,11,upper,StateDistrict,state,11
013,38,38013-upper,13,upper,StateDistrict,state,13
014,38,38014-upper,14,upper,StateDistrict,state,14
015,38,38015-upper,15,upper,StateDistrict,state,15
017,38,38017-upper,17,upper,StateDistrict,state,17
020,38,38020-upper,20,upper,StateDistrict,state,20
021,38,38021-upper,21,upper,StateDistrict,state,21
002,38,38002-upper,2,upper,StateDistrict,state,2
023,38,38023-upper,23,upper,StateDistrict,state,23
024,38,38024-upper,24,upper,StateDistrict,state,24
025,38,38025-upper,25,upper,StateDistrict,state,25
026,38,38026-upper,26,upper,StateDistrict,state,26
027,38,38027-upper,27,upper,StateDistrict,state,27
029,38,38029-upper,29,upper,StateDistrict,state,29
030,38,38030-upper,30,upper,StateDistrict,state,30
031,38,38031-upper,31,upper,StateDistrict,state,31
003,38,38003-upper,3,upper,StateDistrict,state,3
033,38,38033-upper,33,upper,StateDistrict,state,33
035,38,38035-upper,35,upper,StateDistrict,state,35
036,38,38036-upper,36,upper,StateDistrict,state,36
037,38,38037-upper,37,upper,StateDistrict,state,37
039,38,38039-upper,39,upper,StateDistrict,state,39
040,38,38040-upper,40,upper,StateDistrict,state,40
004,38,38004-upper,4,upper,StateDistrict,state,4
001,38,38001-upper,1,upper,StateDistrict,state,1
044,38,38044-upper,44,upper,StateDistrict,state,44
045,38,38045-upper,45,upper,StateDistrict,state,45
046,38,38046-upper,46,upper,StateDistrict,state,46
047,38,38047-upper,47,upper,StateDistrict,state,47
006,38,38006-upper,6,upper,StateDistrict,state,6
007,38,38007-upper,7,upper,StateDistrict,state,7
008,38,38008-upper,8,upper,StateDistrict,state,8
034,38,38034-upper,34,upper,StateDistrict,state,34
016,38,38016-upper,16,upper,StateDistrict,state,16
041,38,38041-upper,41,upper,StateDistrict,state,41
012,38,38012-upper,12,upper,StateDistrict,state,12
018,38,38018-upper,18,upper,StateDistrict,state,18
022,38,38022-upper,22,upper,StateDistrict,state,22
028,38,38028-upper,28,upper,StateDistrict,state,28
032,38,38032-upper,32,upper,StateDistrict,state,32
038,38,38038-upper,38,upper,StateDistrict,state,38
043,38,38043-upper,43,upper,StateDistrict,state,43
005,38,38005-upper,5,upper,StateDistrict,state,5
009,38,38009-upper,9,upper,StateDistrict,state,9
