code,state_code,full_code,name,chamber,type,level,open_states_name
014,39,39014-lower,14,lower,StateDistrict,state,14
016,39,39016-lower,16,lower,StateDistrict,state,16
018,39,39018-lower,18,lower,StateDistrict,state,18
019,39,39019-lower,19,lower,StateDistrict,state,19
020,39,39020-lower,20,lower,StateDistrict,state,20
021,39,39021-lower,21,lower,StateDistrict,state,21
022,39,39022-lower,22,lower,StateDistrict,state,22
023,39,39023-lower,23,lower,StateDistrict,state,23
024,39,39024-lower,24,lower,StateDistrict,state,24
025,39,39025-lower,25,lower,StateDistrict,state,25
027,39,39027-lower,27,lower,StateDistrict,state,27
028,39,39028-lower,28,lower,StateDistrict,state,28
029,39,39029-lower,29,lower,StateDistrict,state,29
031,39,39031-lower,31,lower,StateDistrict,state,31
033,39,39033-lower,33,lower,StateDistrict,state,33
034,39,39034-lower,34,lower,StateDistrict,state,34
042,39,39042-lower,42,lower,StateDistrict,state,42
082,39,39082-lower,82,lower,StateDistrict,state,82
035,39,39035-lower,35,lower,StateDistrict,state,35
036,39,39036-lower,36,lower,StateDistrict,state,36
039,39,39039-lower,39,lower,StateDistrict,state,39
040,39,39040-lower,40,lower,StateDistrict,state,40
004,39,39004-lower,4,lower,StateDistrict,state,4
093,39,39093-lower,93,lower,StateDistrict,state,93
044,39,39044-lower,44,lower,StateDistrict,state,44
046,39,39046-lower,46,lower,StateDistrict,state,46
047,39,39047-lower,47,lower,StateDistrict,state,47
048,39,39048-lower,48,lower,StateDistrict,state,48
049,39,39049-lower,49,lower,StateDistrict,state,49
052,39,39052-lower,52,lower,StateDistrict,state,52
053,39,39053-lower,53,lower,StateDistrict,state,53
054,39,39054-lower,54,lower,StateDistrict,state,54
055,39,39055-lower,55,lower,StateDistrict,state,55
057,39,39057-lower,57,lower,StateDistrict,state,57
058,39,39058-lower,58,lower,StateDistrict,state,58
059,39,39059-lower,59,lower,StateDistrict,state,59
060,39,39060-lower,60,lower,StateDistrict,state,60
061,39,39061-lower,61,lower,StateDistrict,state,61
062,39,39062-lower,62,lower,StateDistrict,state,62
063,39,39063-lower,63,lower,StateDistrict,state,63
065,39,39065-lower,65,lower,StateDistrict,state,65
066,39,39066-lower,66,lower,StateDistrict,state,66
068,39,39068-lower,68,lower,StateDistrict,state,68
069,39,39069-lower,69,lower,StateDistrict,state,69
070,39,39070-lower,70,lower,StateDistrict,state,70
071,39,39071-lower,71,lower,StateDistrict,state,71
072,39,39072-lower,72,lower,StateDistrict,state,72
075,39,39075-lower,75,lower,StateDistrict,state,75
076,39,39076-lower,76,lower,StateDistrict,state,76
077,39,39077-lower,77,lower,StateDistrict,state,77
079,39,39079-lower,79,lower,StateDistrict,state,79
081,39,39081-lower,81,lower,StateDistrict,state,81
008,39,39008-lower,8,lower,StateDistrict,state,8
084,39,39084-lower,84,lower,StateDistrict,state,84
085,39,39085-lower,85,lower,StateDistrict,state,85
086,39,39086-lower,86,lower,StateDistrict,state,86
087,39,39087-lower,87,lower,StateDistrict,state,87
089,39,39089-lower,89,lower,StateDistrict,state,89
090,39,39090-lower,90,lower,StateDistrict,state,90
091,39,39091-lower,91,lower,StateDistrict,state,91
009,39,39009-lower,9,lower,StateDistrict,state,9
094,39,39094-lower,94,lower,StateDistrict,state,94
095,39,39095-lower,95,lower,StateDistrict,state,95
096,39,39096-lower,96,lower,StateDistrict,state,96
098,39,39098-lower,98,lower,StateDistrict,state,98
013,39,39013-lower,13,lower,StateDistrict,state,13
011,39,39011-lower,11,lower,StateDistrict,state,11
012,39,39012-lower,12,lower,StateDistrict,state,12
032,39,39032-lower,32,lower,StateDistrict,state,32
037,39,39037-lower,37,lower,StateDistrict,state,37
045,39,39045-lower,45,lower,StateDistrict,state,45
051,39,39051-lower,51,lower,StateDistrict,state,51
005,39,39005-lower,5,lower,StateDistrict,state,5
064,39,39064-lower,64,lower,StateDistrict,state,64
074,39,39074-lower,74,lower,StateDistrict,state,74
080,39,39080-lower,80,lower,StateDistrict,state,80
097,39,39097-lower,97,lower,StateDistrict,state,97
030,39,39030-lower,30,lower,StateDistrict,state,30
010,39,39010-lower,10,lower,StateDistrict,state,10
001,39,39001-lower,1,lower,StateDistrict,state,1
015,39,39015-lower,15,lower,StateDistrict,state,15
017,39,39017-lower,17,lower,StateDistrict,state,17
002,39,39002-lower,2,lower,StateDistrict,state,2
026,39,39026-lower,26,lower,StateDistrict,state,26
003,39,39003-lower,3,lower,StateDistrict,state,3
038,39,39038-lower,38,lower,StateDistrict,state,38
041,39,39041-lower,41,lower,StateDistrict,state,41
043,39,39043-lower,43,lower,StateDistrict,state,43
050,39,39050-lower,50,lower,StateDistrict,state,50
056,39,39056-lower,56,lower,StateDistrict,state,56
006,39,39006-lower,6,lower,StateDistrict,state,6
067,39,39067-lower,67,lower,StateDistrict,state,67
007,39,39007-lower,7,lower,StateDistrict,state,7
073,39,39073-lower,73,lower,StateDistrict,state,73
078,39,39078-lower,78,lower,StateDistrict,state,78
083,39,39083-lower,83,lower,StateDistrict,state,83
088,39,39088-lower,88,lower,StateDistrict,state,88
092,39,39092-lower,92,lower,StateDistrict,state,92
099,39,39099-lower,99,lower,StateDistrict,state,99
