code,state_code,full_code,name,chamber,type,level,open_states_name
010,39,39010-upper,10,upper,StateDistrict,state,10
011,39,39011-upper,11,upper,StateDistrict,state,11
012,39,39012-upper,12,upper,StateDistrict,state,12
018,39,39018-upper,18,upper,StateDistrict,state,18
022,39,39022-upper,22,upper,StateDistrict,state,22
028,39,39028-upper,28,upper,StateDistrict,state,28
032,39,39032-upper,32,upper,StateDistrict,state,32
033,39,39033-upper,33,upper,StateDistrict,state,33
006,39,39006-upper,6,upper,StateDistrict,state,6
009,39,39009-upper,9,upper,StateDistrict,state,9
001,39,39001-upper,1,upper,StateDistrict,state,1
014,39,39014-upper,14,upper,StateDistrict,state,14
016,39,39016-upper,16,upper,StateDistrict,state,16
017,39,39017-upper,17,upper,StateDistrict,state,17
019,39,39019-upper,19,upper,StateDistrict,state,19
020,39,39020-upper,20,upper,StateDistrict,state,20
002,39,39002-upper,2,upper,StateDistrict,state,2
023,39,39023-upper,23,upper,StateDistrict,state,23
024,39,39024-upper,24,upper,StateDistrict,state,24
025,39,39025-upper,25,upper,StateDistrict,state,25
026,39,39026-upper,26,upper,StateDistrict,state,26
029,39,39029-upper,29,upper,StateDistrict,state,29
031,39,39031-upper,31,upper,StateDistrict,state,31
003,39,39003-upper,3,upper,StateDistrict,state,3
004,39,39004-upper,4,upper,StateDistrict,state,4
005,39,39005-upper,5,upper,StateDistrict,state,5
015,39,39015-upper,15,upper,StateDistrict,state,15
030,39,39030-upper,30,upper,StateDistrict,state,30
007,39,39007-upper,7,upper,StateDistrict,state,7
013,39,39013-upper,13,upper,StateDistrict,state,13
021,39,39021-upper,21,upper,StateDistrict,state,21
027,39,39027-upper,27,upper,StateDistrict,state,27
008,39,39008-upper,8,upper,StateDistrict,state,8
