code,state_code,full_code,name,chamber,type,level,open_states_name
015,40,40015-lower,15,lower,StateDistrict,state,15
016,40,40016-lower,16,lower,StateDistrict,state,16
017,40,40017-lower,17,lower,StateDistrict,state,17
018,40,40018-lower,18,lower,StateDistrict,state,18
020,40,40020-lower,20,lower,StateDistrict,state,20
002,40,40002-lower,2,lower,StateDistrict,state,2
022,40,40022-lower,22,lower,StateDistrict,state,22
024,40,40024-lower,24,lower,StateDistrict,state,24
031,40,40031-lower,31,lower,StateDistrict,state,31
035,40,40035-lower,35,lower,StateDistrict,state,35
036,40,40036-lower,36,lower,StateDistrict,state,36
037,40,40037-lower,37,lower,StateDistrict,state,37
038,40,40038-lower,38,lower,StateDistrict,state,38
044,40,40044-lower,44,lower,StateDistrict,state,44
049,40,40049-lower,49,lower,StateDistrict,state,49
055,40,40055-lower,55,lower,StateDistrict,state,55
084,40,40084-lower,84,lower,StateDistrict,state,84
050,40,40050-lower,50,lower,StateDistrict,state,50
005,40,40005-lower,5,lower,StateDistrict,state,5
056,40,40056-lower,56,lower,StateDistrict,state,56
058,40,40058-lower,58,lower,StateDistrict,state,58
059,40,40059-lower,59,lower,StateDistrict,state,59
061,40,40061-lower,61,lower,StateDistrict,state,61
063,40,40063-lower,63,lower,StateDistrict,state,63
065,40,40065-lower,65,lower,StateDistrict,state,65
074,40,40074-lower,74,lower,StateDistrict,state,74
079,40,40079-lower,79,lower,StateDistrict,state,79
081,40,40081-lower,81,lower,StateDistrict,state,81
008,40,40008-lower,8,lower,StateDistrict,state,8
091,40,40091-lower,91,lower,StateDistrict,state,91
009,40,40009-lower,9,lower,StateDistrict,state,9
012,40,40012-lower,12,lower,StateDistrict,state,12
010,40,40010-lower,10,lower,StateDistrict,state,10
001,40,40001-lower,1,lower,StateDistrict,state,1
014,40,40014-lower,14,lower,StateDistrict,state,14
023,40,40023-lower,23,lower,StateDistrict,state,23
026,40,40026-lower,26,lower,StateDistrict,state,26
027,40,40027-lower,27,lower,StateDistrict,state,27
030,40,40030-lower,30,lower,StateDistrict,state,30
034,40,40034-lower,34,lower,StateDistrict,state,34
041,40,40041-lower,41,lower,StateDistrict,state,41
004,40,40004-lower,4,lower,StateDistrict,state,4
042,40,40042-lower,42,lower,StateDistrict,state,42
043,40,40043-lower,43,lower,StateDistrict,state,43
046,40,40046-lower,46,lower,StateDistrict,state,46
047,40,40047-lower,47,lower,StateDistrict,state,47
053,40,40053-lower,53,lower,StateDistrict,state,53
057,40,40057-lower,57,lower,StateDistrict,state,57
006,40,40006-lower,6,lower,StateDistrict,state,6
062,40,40062-lower,62,lower,StateDistrict,state,62
064,40,40064-lower,64,lower,StateDistrict,state,64
067,40,40067-lower,67,lower,StateDistrict,state,67
068,40,40068-lower,68,lower,StateDistrict,state,68
069,40,40069-lower,69,lower,StateDistrict,state,69
070,40,40070-lower,70,lower,StateDistrict,state,70
007,40,40007-lower,7,lower,StateDistrict,state,7
072,40,40072-lower,72,lower,StateDistrict,state,72
073,40,40073-lower,73,lower,StateDistrict,state,73
075,40,40075-lower,75,lower,StateDistrict,state,75
078,40,40078-lower,78,lower,StateDistrict,state,78
080,40,40080-lower,80,lower,StateDistrict,state,80
082,40,40082-lower,82,lower,StateDistrict,state,82
083,40,40083-lower,83,lower,StateDistrict,state,83
087,40,40087-lower,87,lower,StateDistrict,state,87
088,40,40088-lower,88,lower,StateDistrict,state,88
089,40,40089-lower,89,lower,StateDistrict,state,89
090,40,40090-lower,90,lower,StateDistrict,state,90
092,40,40092-lower,92,lower,StateDistrict,state,92
094,40,40094-lower,94,lower,StateDistrict,state,94
095,40,40095-lower,95,lower,StateDistrict,state,95
096,40,40096-lower,96,lower,StateDistrict,state,96
097,40,40097-lower,97,lower,StateDistrict,state,97
099,40,40099-lower,99,lower,StateDistrict,state,99
025,40,40025-lower,25,lower,StateDistrict,state,25
028,40,40028-lower,28,lower,StateDistrict,state,28
032,40,40032-lower,32,lower,StateDistrict,state,32
033,40,40033-lower,33,lower,StateDistrict,state,33
048,40,40048-lower,48,lower,StateDistrict,state,48
051,40,40051-lower,51,lower,StateDistrict,state,51
101,40,40101-lower,101,lower,StateDistrict,state,101
100,40,40100-lower,100,lower,StateDistrict,state,100
013,40,40013-lower,13,lower,StateDistrict,state,13
019,40,40019-lower,19,lower,StateDistrict,state,19
021,40,40021-lower,21,lower,StateDistrict,state,21
029,40,40029-lower,29,lower,StateDistrict,state,29
003,40,40003-lower,3,lower,StateDistrict,state,3
039,40,40039-lower,39,lower,StateDistrict,state,39
040,40,40040-lower,40,lower,StateDistrict,state,40
045,40,40045-lower,45,lower,StateDistrict,state,45
052,40,40052-lower,52,lower,StateDistrict,state,52
054,40,40054-lower,54,lower,StateDistrict,state,54
060,40,40060-lower,60,lower,StateDistrict,state,60
066,40,40066-lower,66,lower,StateDistrict,state,66
071,40,40071-lower,71,lower,StateDistrict,state,71
076,40,40076-lower,76,lower,StateDistrict,state,76
077,40,40077-lower,77,lower,StateDistrict,state,77
085,40,40085-lower,85,lower,StateDistrict,state,85
086,40,40086-lower,86,lower,StateDistrict,state,86
093,40,40093-lower,93,lower,StateDistrict,state,93
098,40,40098-lower,98,lower,StateDistrict,state,98
011,40,40011-lower,11,lower,StateDistrict,state,11
