code,state_code,full_code,name,chamber,type,level,open_states_name
014,40,40014-upper,14,upper,StateDistrict,state,14
028,40,40028-upper,28,upper,StateDistrict,state,28
029,40,40029-upper,29,upper,StateDistrict,state,29
034,40,40034-upper,34,upper,StateDistrict,state,34
036,40,40036-upper,36,upper,StateDistrict,state,36
013,40,40013-upper,13,upper,StateDistrict,state,13
007,40,40007-upper,7,upper,StateDistrict,state,7
001,40,40001-upper,1,upper,StateDistrict,state,1
017,40,40017-upper,17,upper,StateDistrict,state,17
020,40,40020-upper,20,upper,StateDistrict,state,20
003,40,40003-upper,3,upper,StateDistrict,state,3
041,40,40041-upper,41,upper,StateDistrict,state,41
004,40,40004-upper,4,upper,StateDistrict,state,4
042,40,40042-upper,42,upper,StateDistrict,state,42
046,40,40046-upper,46,upper,StateDistrict,state,46
005,40,40005-upper,5,upper,StateDistrict,state,5
009,40,40009-upper,9,upper,StateDistrict,state,9
018,40,40018-upper,18,upper,StateDistrict,state,18
019,40,40019-upper,19,upper,StateDistrict,state,19
002,40,40002-upper,2,upper,StateDistrict,state,2
024,40,40024-upper,24,upper,StateDistrict,state,24
026,40,40026-upper,26,upper,StateDistrict,state,26
038,40,40038-upper,38,upper,StateDistrict,state,38
040,40,40040-upper,40,upper,StateDistrict,state,40
006,40,40006-upper,6,upper,StateDistrict,state,6
047,40,40047-upper,47,upper,StateDistrict,state,47
010,40,40010-upper,10,upper,StateDistrict,state,10
012,40,40012-upper,12,upper,StateDistrict,state,12
015,40,40015-upper,15,upper,StateDistrict,state,15
016,40,40016-upper,16,upper,StateDistrict,state,16
023,40,40023-upper,23,upper,StateDistrict,state,23
030,40,40030-upper,30,upper,StateDistrict,state,30
031,40,40031-upper,31,upper,StateDistrict,state,31
032,40,40032-upper,32,upper,StateDistrict,state,32
035,40,40035-upper,35,upper,StateDistrict,state,35
037,40,40037-upper,37,upper,StateDistrict,state,37
045,40,40045-upper,45,upper,StateDistrict,state,45
048,40,40048-upper,48,upper,StateDistrict,state,48
021,40,40021-upper,21,upper,StateDistrict,state,21
025,40,40025-upper,25,upper,StateDistrict,state,25
033,40,40033-upper,33,upper,StateDistrict,state,33
039,40,40039-upper,39,upper,StateDistrict,state,39
043,40,40043-upper,43,upper,StateDistrict,state,43
011,40,40011-upper,11,upper,StateDistrict,state,11
022,40,40022-upper,22,upper,StateDistrict,state,22
027,40,40027-upper,27,upper,StateDistrict,state,27
044,40,40044-upper,44,upper,StateDistrict,state,44
008,40,40008-upper,8,upper,StateDistrict,state,8
