code,state_code,full_code,name,chamber,type,level,open_states_name
013,41,41013-lower,13,lower,StateDistrict,state,13
015,41,41015-lower,15,lower,StateDistrict,state,15
014,41,41014-lower,14,lower,StateDistrict,state,14
018,41,41018-lower,18,lower,StateDistrict,state,18
020,41,41020-lower,20,lower,StateDistrict,state,20
019,41,41019-lower,19,lower,StateDistrict,state,19
021,41,41021-lower,21,lower,StateDistrict,state,21
025,41,41025-lower,25,lower,StateDistrict,state,25
027,41,41027-lower,27,lower,StateDistrict,state,27
030,41,41030-lower,30,lower,StateDistrict,state,30
028,41,41028-lower,28,lower,StateDistrict,state,28
029,41,41029-lower,29,lower,StateDistrict,state,29
031,41,41031-lower,31,lower,StateDistrict,state,31
032,41,41032-lower,32,lower,StateDistrict,state,32
033,41,41033-lower,33,lower,StateDistrict,state,33
034,41,41034-lower,34,lower,StateDistrict,state,34
035,41,41035-lower,35,lower,StateDistrict,state,35
037,41,41037-lower,37,lower,StateDistrict,state,37
038,41,41038-lower,38,lower,StateDistrict,state,38
039,41,41039-lower,39,lower,StateDistrict,state,39
040,41,41040-lower,40,lower,StateDistrict,state,40
004,41,41004-lower,4,lower,StateDistrict,state,4
042,41,41042-lower,42,lower,StateDistrict,state,42
043,41,41043-lower,43,lower,StateDistrict,state,43
044,41,41044-lower,44,lower,StateDistrict,state,44
046,41,41046-lower,46,lower,StateDistrict,state,46
047,41,41047-lower,47,lower,StateDistrict,state,47
048,41,41048-lower,48,lower,StateDistrict,state,48
049,41,41049-lower,49,lower,StateDistrict,state,49
050,41,41050-lower,50,lower,StateDistrict,state,50
052,41,41052-lower,52,lower,StateDistrict,state,52
053,41,41053-lower,53,lower,StateDistrict,state,53
054,41,41054-lower,54,lower,StateDistrict,state,54
056,41,41056-lower,56,lower,StateDistrict,state,56
057,41,41057-lower,57,lower,StateDistrict,state,57
058,41,41058-lower,58,lower,StateDistrict,state,58
059,41,41059-lower,59,lower,StateDistrict,state,59
006,41,41006-lower,6,lower,StateDistrict,state,6
007,41,41007-lower,7,lower,StateDistrict,state,7
001,41,41001-lower,1,lower,StateDistrict,state,1
016,41,41016-lower,16,lower,StateDistrict,state,16
023,41,41023-lower,23,lower,StateDistrict,state,23
024,41,41024-lower,24,lower,StateDistrict,state,24
008,41,41008-lower,8,lower,StateDistrict,state,8
010,41,41010-lower,10,lower,StateDistrict,state,10
011,41,41011-lower,11,lower,StateDistrict,state,11
055,41,41055-lower,55,lower,StateDistrict,state,55
012,41,41012-lower,12,lower,StateDistrict,state,12
017,41,41017-lower,17,lower,StateDistrict,state,17
002,41,41002-lower,2,lower,StateDistrict,state,2
026,41,41026-lower,26,lower,StateDistrict,state,26
003,41,41003-lower,3,lower,StateDistrict,state,3
036,41,41036-lower,36,lower,StateDistrict,state,36
041,41,41041-lower,41,lower,StateDistrict,state,41
045,41,41045-lower,45,lower,StateDistrict,state,45
051,41,41051-lower,51,lower,StateDistrict,state,51
005,41,41005-lower,5,lower,StateDistrict,state,5
060,41,41060-lower,60,lower,StateDistrict,state,60
009,41,41009-lower,9,lower,StateDistrict,state,9
022,41,41022-lower,22,lower,StateDistrict,state,22
