code,state_code,full_code,name,chamber,type,level,open_states_name
018,41,41018-upper,18,upper,StateDistrict,state,18
020,41,41020-upper,20,upper,StateDistrict,state,20
002,41,41002-upper,2,upper,StateDistrict,state,2
026,41,41026-upper,26,upper,StateDistrict,state,26
027,41,41027-upper,27,upper,StateDistrict,state,27
004,41,41004-upper,4,upper,StateDistrict,state,4
008,41,41008-upper,8,upper,StateDistrict,state,8
009,41,41009-upper,9,upper,StateDistrict,state,9
013,41,41013-upper,13,upper,StateDistrict,state,13
028,41,41028-upper,28,upper,StateDistrict,state,28
030,41,41030-upper,30,upper,StateDistrict,state,30
006,41,41006-upper,6,upper,StateDistrict,state,6
019,41,41019-upper,19,upper,StateDistrict,state,19
007,41,41007-upper,7,upper,StateDistrict,state,7
010,41,41010-upper,10,upper,StateDistrict,state,10
011,41,41011-upper,11,upper,StateDistrict,state,11
014,41,41014-upper,14,upper,StateDistrict,state,14
015,41,41015-upper,15,upper,StateDistrict,state,15
016,41,41016-upper,16,upper,StateDistrict,state,16
017,41,41017-upper,17,upper,StateDistrict,state,17
022,41,41022-upper,22,upper,StateDistrict,state,22
023,41,41023-upper,23,upper,StateDistrict,state,23
024,41,41024-upper,24,upper,StateDistrict,state,24
025,41,41025-upper,25,upper,StateDistrict,state,25
029,41,41029-upper,29,upper,StateDistrict,state,29
003,41,41003-upper,3,upper,StateDistrict,state,3
012,41,41012-upper,12,upper,StateDistrict,state,12
001,41,41001-upper,1,upper,StateDistrict,state,1
021,41,41021-upper,21,upper,StateDistrict,state,21
005,41,41005-upper,5,upper,StateDistrict,state,5
