code,state_code,full_code,name,chamber,type,level,open_states_name
164,42,42164-lower,164,lower,StateDistrict,state,164
108,42,42108-lower,108,lower,StateDistrict,state,108
109,42,42109-lower,109,lower,StateDistrict,state,109
114,42,42114-lower,114,lower,StateDistrict,state,114
118,42,42118-lower,118,lower,StateDistrict,state,118
001,42,42001-lower,1,lower,StateDistrict,state,1
180,42,42180-lower,180,lower,StateDistrict,state,180
126,42,42126-lower,126,lower,StateDistrict,state,126
129,42,42129-lower,129,lower,StateDistrict,state,129
133,42,42133-lower,133,lower,StateDistrict,state,133
139,42,42139-lower,139,lower,StateDistrict,state,139
015,42,42015-lower,15,lower,StateDistrict,state,15
028,42,42028-lower,28,lower,StateDistrict,state,28
171,42,42171-lower,171,lower,StateDistrict,state,171
017,42,42017-lower,17,lower,StateDistrict,state,17
030,42,42030-lower,30,lower,StateDistrict,state,30
193,42,42193-lower,193,lower,StateDistrict,state,193
196,42,42196-lower,196,lower,StateDistrict,state,196
199,42,42199-lower,199,lower,StateDistrict,state,199
201,42,42201-lower,201,lower,StateDistrict,state,201
027,42,42027-lower,27,lower,StateDistrict,state,27
037,42,42037-lower,37,lower,StateDistrict,state,37
043,42,42043-lower,43,lower,StateDistrict,state,43
046,42,42046-lower,46,lower,StateDistrict,state,46
049,42,42049-lower,49,lower,StateDistrict,state,49
050,42,42050-lower,50,lower,StateDistrict,state,50
051,42,42051-lower,51,lower,StateDistrict,state,51
062,42,42062-lower,62,lower,StateDistrict,state,62
073,42,42073-lower,73,lower,StateDistrict,state,73
052,42,42052-lower,52,lower,StateDistrict,state,52
053,42,42053-lower,53,lower,StateDistrict,state,53
054,42,42054-lower,54,lower,StateDistrict,state,54
057,42,42057-lower,57,lower,StateDistrict,state,57
059,42,42059-lower,59,lower,StateDistrict,state,59
060,42,42060-lower,60,lower,StateDistrict,state,60
006,42,42006-lower,6,lower,StateDistrict,state,6
066,42,42066-lower,66,lower,StateDistrict,state,66
069,42,42069-lower,69,lower,StateDistrict,state,69
071,42,42071-lower,71,lower,StateDistrict,state,71
007,42,42007-lower,7,lower,StateDistrict,state,7
075,42,42075-lower,75,lower,StateDistrict,state,75
076,42,42076-lower,76,lower,StateDistrict,state,76
077,42,42077-lower,77,lower,StateDistrict,state,77
080,42,42080-lower,80,lower,StateDistrict,state,80
081,42,42081-lower,81,lower,StateDistrict,state,81
082,42,42082-lower,82,lower,StateDistrict,state,82
083,42,42083-lower,83,lower,StateDistrict,state,83
084,42,42084-lower,84,lower,StateDistrict,state,84
086,42,42086-lower,86,lower,StateDistrict,state,86
088,42,42088-lower,88,lower,StateDistrict,state,88
090,42,42090-lower,90,lower,StateDistrict,state,90
092,42,42092-lower,92,lower,StateDistrict,state,92
094,42,42094-lower,94,lower,StateDistrict,state,94
098,42,42098-lower,98,lower,StateDistrict,state,98
124,42,42124-lower,124,lower,StateDistrict,state,124
010,42,42010-lower,10,lower,StateDistrict,state,10
104,42,42104-lower,104,lower,StateDistrict,state,104
106,42,42106-lower,106,lower,StateDistrict,state,106
107,42,42107-lower,107,lower,StateDistrict,state,107
110,42,42110-lower,110,lower,StateDistrict,state,110
116,42,42116-lower,116,lower,StateDistrict,state,116
117,42,42117-lower,117,lower,StateDistrict,state,117
120,42,42120-lower,120,lower,StateDistrict,state,120
121,42,42121-lower,121,lower,StateDistrict,state,121
012,42,42012-lower,12,lower,StateDistrict,state,12
163,42,42163-lower,163,lower,StateDistrict,state,163
