code,state_code,full_code,name,chamber,type,level,open_states_name
010,42,42010-upper,10,upper,StateDistrict,state,10
012,42,42012-upper,12,upper,StateDistrict,state,12
015,42,42015-upper,15,upper,StateDistrict,state,15
021,42,42021-upper,21,upper,StateDistrict,state,21
023,42,42023-upper,23,upper,StateDistrict,state,23
025,42,42025-upper,25,upper,StateDistrict,state,25
027,42,42027-upper,27,upper,StateDistrict,state,27
033,42,42033-upper,33,upper,StateDistrict,state,33
034,42,42034-upper,34,upper,StateDistrict,state,34
040,42,42040-upper,40,upper,StateDistrict,state,40
004,42,42004-upper,4,upper,StateDistrict,state,4
046,42,42046-upper,46,upper,StateDistrict,state,46
007,42,42007-upper,7,upper,StateDistrict,state,7
009,42,42009-upper,9,upper,StateDistrict,state,9
011,42,42011-upper,11,upper,StateDistrict,state,11
013,42,42013-upper,13,upper,StateDistrict,state,13
014,42,42014-upper,14,upper,StateDistrict,state,14
016,42,42016-upper,16,upper,StateDistrict,state,16
020,42,42020-upper,20,upper,StateDistrict,state,20
022,42,42022-upper,22,upper,StateDistrict,state,22
024,42,42024-upper,24,upper,StateDistrict,state,24
026,42,42026-upper,26,upper,StateDistrict,state,26
029,42,42029-upper,29,upper,StateDistrict,state,29
030,42,42030-upper,30,upper,StateDistrict,state,30
031,42,42031-upper,31,upper,StateDistrict,state,31
003,42,42003-upper,3,upper,StateDistrict,state,3
036,42,42036-upper,36,upper,StateDistrict,state,36
037,42,42037-upper,37,upper,StateDistrict,state,37
038,42,42038-upper,38,upper,StateDistrict,state,38
039,42,42039-upper,39,upper,StateDistrict,state,39
041,42,42041-upper,41,upper,StateDistrict,state,41
042,42,42042-upper,42,upper,StateDistrict,state,42
048,42,42048-upper,48,upper,StateDistrict,state,48
049,42,42049-upper,49,upper,StateDistrict,state,49
050,42,42050-upper,50,upper,StateDistrict,state,50
005,42,42005-upper,5,upper,StateDistrict,state,5
008,42,42008-upper,8,upper,StateDistrict,state,8
045,42,42045-upper,45,upper,StateDistrict,state,45
017,42,42017-upper,17,upper,StateDistrict,state,17
044,42,42044-upper,44,upper,StateDistrict,state,44
019,42,42019-upper,19,upper,StateDistrict,state,19
002,42,42002-upper,2,upper,StateDistrict,state,2
032,42,42032-upper,32,upper,StateDistrict,state,32
047,42,42047-upper,47,upper,StateDistrict,state,47
001,42,42001-upper,1,upper,StateDistrict,state,1
018,42,42018-upper,18,upper,StateDistrict,state,18
028,42,42028-upper,28,upper,StateDistrict,state,28
035,42,42035-upper,35,upper,StateDistrict,state,35
043,42,42043-upper,43,upper,StateDistrict,state,43
006,42,42006-upper,6,upper,StateDistrict,state,6
