code,state_code,full_code,name,chamber,type,level,open_states_name
001,72,72001-lower,1,lower,StateDistrict,state,1
012,72,72012-lower,12,lower,StateDistrict,state,12
013,72,72013-lower,13,lower,StateDistrict,state,13
014,72,72014-lower,14,lower,StateDistrict,state,14
016,72,72016-lower,16,lower,StateDistrict,state,16
017,72,72017-lower,17,lower,StateDistrict,state,17
018,72,72018-lower,18,lower,StateDistrict,state,18
019,72,72019-lower,19,lower,StateDistrict,state,19
021,72,72021-lower,21,lower,StateDistrict,state,21
002,72,72002-lower,2,lower,StateDistrict,state,2
022,72,72022-lower,22,lower,StateDistrict,state,22
023,72,72023-lower,23,lower,StateDistrict,state,23
025,72,72025-lower,25,lower,StateDistrict,state,25
026,72,72026-lower,26,lower,StateDistrict,state,26
027,72,72027-lower,27,lower,StateDistrict,state,27
028,72,72028-lower,28,lower,StateDistrict,state,28
029,72,72029-lower,29,lower,StateDistrict,state,29
031,72,72031-lower,31,lower,StateDistrict,state,31
003,72,72003-lower,3,lower,StateDistrict,state,3
032,72,72032-lower,32,lower,StateDistrict,state,32
033,72,72033-lower,33,lower,StateDistrict,state,33
035,72,72035-lower,35,lower,StateDistrict,state,35
036,72,72036-lower,36,lower,StateDistrict,state,36
037,72,72037-lower,37,lower,StateDistrict,state,37
038,72,72038-lower,38,lower,StateDistrict,state,38
040,72,72040-lower,40,lower,StateDistrict,state,40
004,72,72004-lower,4,lower,StateDistrict,state,4
005,72,72005-lower,5,lower,StateDistrict,state,5
006,72,72006-lower,6,lower,StateDistrict,state,6
008,72,72008-lower,8,lower,StateDistrict,state,8
009,72,72009-lower,9,lower,StateDistrict,state,9
010,72,72010-lower,10,lower,StateDistrict,state,10
011,72,72011-lower,11,lower,StateDistrict,state,11
015,72,72015-lower,15,lower,StateDistrict,state,15
020,72,72020-lower,20,lower,StateDistrict,state,20
024,72,72024-lower,24,lower,StateDistrict,state,24
030,72,72030-lower,30,lower,StateDistrict,state,30
034,72,72034-lower,34,lower,StateDistrict,state,34
039,72,72039-lower,39,lower,StateDistrict,state,39
007,72,72007-lower,7,lower,StateDistrict,state,7
