code,state_code,full_code,name,chamber,type,level,open_states_name
011,44,44011-lower,11,lower,StateDistrict,state,11
016,44,44016-lower,16,lower,StateDistrict,state,16
018,44,44018-lower,18,lower,StateDistrict,state,18
002,44,44002-lower,2,lower,StateDistrict,state,2
026,44,44026-lower,26,lower,StateDistrict,state,26
029,44,44029-lower,29,lower,StateDistrict,state,29
036,44,44036-lower,36,lower,StateDistrict,state,36
040,44,44040-lower,40,lower,StateDistrict,state,40
054,44,44054-lower,54,lower,StateDistrict,state,54
063,44,44063-lower,63,lower,StateDistrict,state,63
045,44,44045-lower,45,lower,StateDistrict,state,45
046,44,44046-lower,46,lower,StateDistrict,state,46
047,44,44047-lower,47,lower,StateDistrict,state,47
049,44,44049-lower,49,lower,StateDistrict,state,49
050,44,44050-lower,50,lower,StateDistrict,state,50
005,44,44005-lower,5,lower,StateDistrict,state,5
055,44,44055-lower,55,lower,StateDistrict,state,55
056,44,44056-lower,56,lower,StateDistrict,state,56
058,44,44058-lower,58,lower,StateDistrict,state,58
060,44,44060-lower,60,lower,StateDistrict,state,60
061,44,44061-lower,61,lower,StateDistrict,state,61
006,44,44006-lower,6,lower,StateDistrict,state,6
064,44,44064-lower,64,lower,StateDistrict,state,64
066,44,44066-lower,66,lower,StateDistrict,state,66
070,44,44070-lower,70,lower,StateDistrict,state,70
075,44,44075-lower,75,lower,StateDistrict,state,75
014,44,44014-lower,14,lower,StateDistrict,state,14
012,44,44012-lower,12,lower,StateDistrict,state,12
017,44,44017-lower,17,lower,StateDistrict,state,17
019,44,44019-lower,19,lower,StateDistrict,state,19
020,44,44020-lower,20,lower,StateDistrict,state,20
022,44,44022-lower,22,lower,StateDistrict,state,22
024,44,44024-lower,24,lower,StateDistrict,state,24
025,44,44025-lower,25,lower,StateDistrict,state,25
027,44,44027-lower,27,lower,StateDistrict,state,27
030,44,44030-lower,30,lower,StateDistrict,state,30
031,44,44031-lower,31,lower,StateDistrict,state,31
003,44,44003-lower,3,lower,StateDistrict,state,3
032,44,44032-lower,32,lower,StateDistrict,state,32
034,44,44034-lower,34,lower,StateDistrict,state,34
035,44,44035-lower,35,lower,StateDistrict,state,35
037,44,44037-lower,37,lower,StateDistrict,state,37
038,44,44038-lower,38,lower,StateDistrict,state,38
041,44,44041-lower,41,lower,StateDistrict,state,41
004,44,44004-lower,4,lower,StateDistrict,state,4
042,44,44042-lower,42,lower,StateDistrict,state,42
044,44,44044-lower,44,lower,StateDistrict,state,44
052,44,44052-lower,52,lower,StateDistrict,state,52
053,44,44053-lower,53,lower,StateDistrict,state,53
059,44,44059-lower,59,lower,StateDistrict,state,59
065,44,44065-lower,65,lower,StateDistrict,state,65
067,44,44067-lower,67,lower,StateDistrict,state,67
069,44,44069-lower,69,lower,StateDistrict,state,69
071,44,44071-lower,71,lower,StateDistrict,state,71
072,44,44072-lower,72,lower,StateDistrict,state,72
073,44,44073-lower,73,lower,StateDistrict,state,73
008,44,44008-lower,8,lower,StateDistrict,state,8
009,44,44009-lower,9,lower,StateDistrict,state,9
015,44,44015-lower,15,lower,StateDistrict,state,15
010,44,44010-lower,10,lower,StateDistrict,state,10
001,44,44001-lower,1,lower,StateDistrict,state,1
013,44,44013-lower,13,lower,StateDistrict,state,13
021,44,44021-lower,21,lower,StateDistrict,state,21
023,44,44023-lower,23,lower,StateDistrict,state,23
028,44,44028-lower,28,lower,StateDistrict,state,28
033,44,44033-lower,33,lower,StateDistrict,state,33
039,44,44039-lower,39,lower,StateDistrict,state,39
043,44,44043-lower,43,lower,StateDistrict,state,43
048,44,44048-lower,48,lower,StateDistrict,state,48
051,44,44051-lower,51,lower,StateDistrict,state,51
057,44,44057-lower,57,lower,StateDistrict,state,57
062,44,44062-lower,62,lower,StateDistrict,state,62
068,44,44068-lower,68,lower,StateDistrict,state,68
007,44,44007-lower,7,lower,StateDistrict,state,7
074,44,44074-lower,74,lower,StateDistrict,state,74
