code,state_code,full_code,name,chamber,type,level,open_states_name
010,44,44010-upper,10,upper,StateDistrict,state,10
001,44,44001-upper,1,upper,StateDistrict,state,1
012,44,44012-upper,12,upper,StateDistrict,state,12
016,44,44016-upper,16,upper,StateDistrict,state,16
018,44,44018-upper,18,upper,StateDistrict,state,18
020,44,44020-upper,20,upper,StateDistrict,state,20
022,44,44022-upper,22,upper,StateDistrict,state,22
023,44,44023-upper,23,upper,StateDistrict,state,23
024,44,44024-upper,24,upper,StateDistrict,state,24
025,44,44025-upper,25,upper,StateDistrict,state,25
026,44,44026-upper,26,upper,StateDistrict,state,26
029,44,44029-upper,29,upper,StateDistrict,state,29
031,44,44031-upper,31,upper,StateDistrict,state,31
003,44,44003-upper,3,upper,StateDistrict,state,3
033,44,44033-upper,33,upper,StateDistrict,state,33
034,44,44034-upper,34,upper,StateDistrict,state,34
035,44,44035-upper,35,upper,StateDistrict,state,35
036,44,44036-upper,36,upper,StateDistrict,state,36
038,44,44038-upper,38,upper,StateDistrict,state,38
005,44,44005-upper,5,upper,StateDistrict,state,5
008,44,44008-upper,8,upper,StateDistrict,state,8
009,44,44009-upper,9,upper,StateDistrict,state,9
014,44,44014-upper,14,upper,StateDistrict,state,14
015,44,44015-upper,15,upper,StateDistrict,state,15
017,44,44017-upper,17,upper,StateDistrict,state,17
019,44,44019-upper,19,upper,StateDistrict,state,19
028,44,44028-upper,28,upper,StateDistrict,state,28
030,44,44030-upper,30,upper,StateDistrict,state,30
037,44,44037-upper,37,upper,StateDistrict,state,37
007,44,44007-upper,7,upper,StateDistrict,state,7
013,44,44013-upper,13,upper,StateDistrict,state,13
021,44,44021-upper,21,upper,StateDistrict,state,21
027,44,44027-upper,27,upper,StateDistrict,state,27
032,44,44032-upper,32,upper,StateDistrict,state,32
004,44,44004-upper,4,upper,StateDistrict,state,4
011,44,44011-upper,11,upper,StateDistrict,state,11
002,44,44002-upper,2,upper,StateDistrict,state,2
006,44,44006-upper,6,upper,StateDistrict,state,6
