code,state_code,full_code,name,chamber,type,level,open_states_name
001,45,45001-lower,HD-001,lower,StateDistrict,state,1
008,45,45008-lower,HD-008,lower,StateDistrict,state,8
029,45,45029-lower,HD-029,lower,StateDistrict,state,29
042,45,45042-lower,HD-042,lower,StateDistrict,state,42
045,45,45045-lower,HD-045,lower,StateDistrict,state,45
060,45,45060-lower,HD-060,lower,StateDistrict,state,60
070,45,45070-lower,HD-070,lower,StateDistrict,state,70
071,45,45071-lower,HD-071,lower,StateDistrict,state,71
085,45,45085-lower,HD-085,lower,StateDistrict,state,85
100,45,45100-lower,HD-100,lower,StateDistrict,state,100
114,45,45114-lower,HD-114,lower,StateDistrict,state,114
118,45,45118-lower,HD-118,lower,StateDistrict,state,118
003,45,45003-lower,HD-003,lower,StateDistrict,state,3
004,45,45004-lower,HD-004,lower,StateDistrict,state,4
006,45,45006-lower,HD-006,lower,StateDistrict,state,6
007,45,45007-lower,HD-007,lower,StateDistrict,state,7
009,45,45009-lower,HD-009,lower,StateDistrict,state,9
010,45,45010-lower,HD-010,lower,StateDistrict,state,10
012,45,45012-lower,HD-012,lower,StateDistrict,state,12
013,45,45013-lower,HD-013,lower,StateDistrict,state,13
014,45,45014-lower,HD-014,lower,StateDistrict,state,14
016,45,45016-lower,HD-016,lower,StateDistrict,state,16
017,45,45017-lower,HD-017,lower,StateDistrict,state,17
018,45,45018-lower,HD-018,lower,StateDistrict,state,18
019,45,45019-lower,HD-019,lower,StateDistrict,state,19
023,45,45023-lower,HD-023,lower,StateDistrict,state,23
024,45,45024-lower,HD-024,lower,StateDistrict,state,24
025,45,45025-lower,HD-025,lower,StateDistrict,state,25
027,45,45027-lower,HD-027,lower,StateDistrict,state,27
028,45,45028-lower,HD-028,lower,StateDistrict,state,28
030,45,45030-lower,HD-030,lower,StateDistrict,state,30
033,45,45033-lower,HD-033,lower,StateDistrict,state,33
036,45,45036-lower,HD-036,lower,StateDistrict,state,36
038,45,45038-lower,HD-038,lower,StateDistrict,state,38
039,45,45039-lower,HD-039,lower,StateDistrict,state,39
040,45,45040-lower,HD-040,lower,StateDistrict,state,40
041,45,45041-lower,HD-041,lower,StateDistrict,state,41
043,45,45043-lower,HD-043,lower,StateDistrict,state,43
044,45,45044-lower,HD-044,lower,StateDistrict,state,44
046,45,45046-lower,HD-046,lower,StateDistrict,state,46
049,45,45049-lower,HD-049,lower,StateDistrict,state,49
050,45,45050-lower,HD-050,lower,StateDistrict,state,50
052,45,45052-lower,HD-052,lower,StateDistrict,state,52
053,45,45053-lower,HD-053,lower,StateDistrict,state,53
054,45,45054-lower,HD-054,lower,StateDistrict,state,54
055,45,45055-lower,HD-055,lower,StateDistrict,state,55
056,45,45056-lower,HD-056,lower,StateDistrict,state,56
058,45,45058-lower,HD-058,lower,StateDistrict,state,58
061,45,45061-lower,HD-061,lower,StateDistrict,state,61
062,45,45062-lower,HD-062,lower,StateDistrict,state,62
063,45,45063-lower,HD-063,lower,StateDistrict,state,63
064,45,45064-lower,HD-064,lower,StateDistrict,state,64
065,45,45065-lower,HD-065,lower,StateDistrict,state,65
066,45,45066-lower,HD-066,lower,StateDistrict,state,66
068,45,45068-lower,HD-068,lower,StateDistrict,state,68
069,45,45069-lower,HD-069,lower,StateDistrict,state,69
072,45,45072-lower,HD-072,lower,StateDistrict,state,72
073,45,45073-lower,HD-073,lower,StateDistrict,state,73
075,45,45075-lower,HD-075,lower,StateDistrict,state,75
077,45,45077-lower,HD-077,lower,StateDistrict,state,77
078,45,45078-lower,HD-078,lower,StateDistrict,state,78
079,45,45079-lower,HD-079,lower,StateDistrict,state,79
081,45,45081-lower,HD-081,lower,StateDistrict,state,81
082,45,45082-lower,HD-082,lower,StateDistrict,state,82
084,45,45084-lower,HD-084,lower,StateDistrict,state,84
086,45,45086-lower,HD-086,lower,StateDistrict,state,86
089,45,45089-lower,HD-089,lower,StateDistrict,state,89
090,45,45090-lower,HD-090,lower,StateDistrict,state,90
091,45,45091-lower,HD-091,lower,StateDistrict,state,91
093,45,45093-lower,HD-093,lower,StateDistrict,state,93
095,45,45095-lower,HD-095,lower,StateDistrict,state,95
096,45,45096-lower,HD-096,lower,StateDistrict,state,96
097,45,45097-lower,HD-097,lower,StateDistrict,state,97
101,45,45101-lower,HD-101,lower,StateDistrict,state,101
102,45,45102-lower,HD-102,lower,StateDistrict,state,102
104,45,45104-lower,HD-104,lower,StateDistrict,state,104
105,45,45105-lower,HD-105,lower,StateDistrict,state,105
107,45,45107-lower,HD-107,lower,StateDistrict,state,107
108,45,45108-lower,HD-108,lower,StateDistrict,state,108
111,45,45111-lower,HD-111,lower,StateDistrict,state,111
112,45,45112-lower,HD-112,lower,StateDistrict,state,112
113,45,45113-lower,HD-113,lower,StateDistrict,state,113
115,45,45115-lower,HD-115,lower,StateDistrict,state,115
116,45,45116-lower,HD-116,lower,StateDistrict,state,116
120,45,45120-lower,HD-120,lower,StateDistrict,state,120
121,45,45121-lower,HD-121,lower,StateDistrict,state,121
122,45,45122-lower,HD-122,lower,StateDistrict,state,122
124,45,45124-lower,HD-124,lower,StateDistrict,state,124
005,45,45005-lower,HD-005,lower,StateDistrict,state,5
015,45,45015-lower,HD-015,lower,StateDistrict,state,15
020,45,45020-lower,HD-020,lower,StateDistrict,state,20
021,45,45021-lower,HD-021,lower,StateDistrict,state,21
026,45,45026-lower,HD-026,lower,StateDistrict,state,26
031,45,45031-lower,HD-031,lower,StateDistrict,state,31
032,45,45032-lower,HD-032,lower,StateDistrict,state,32
034,45,45034-lower,HD-034,lower,StateDistrict,state,34
037,45,45037-lower,HD-037,lower,StateDistrict,state,37
048,45,45048-lower,HD-048,lower,StateDistrict,state,48
051,45,45051-lower,HD-051,lower,StateDistrict,state,51
059,45,45059-lower,HD-059,lower,StateDistrict,state,59
074,45,45074-lower,HD-074,lower,StateDistrict,state,74
076,45,45076-lower,HD-076,lower,StateDistrict,state,76
083,45,45083-lower,HD-083,lower,StateDistrict,state,83
087,45,45087-lower,HD-087,lower,StateDistrict,state,87
088,45,45088-lower,HD-088,lower,StateDistrict,state,88
094,45,45094-lower,HD-094,lower,StateDistrict,state,94
098,45,45098-lower,HD-098,lower,StateDistrict,state,98
099,45,45099-lower,HD-099,lower,StateDistrict,state,99
106,45,45106-lower,HD-106,lower,StateDistrict,state,106
109,45,45109-lower,HD-109,lower,StateDistrict,state,109
117,45,45117-lower,HD-117,lower,StateDistrict,state,117
123,45,45123-lower,HD-123,lower,StateDistrict,state,123
002,45,45002-lower,HD-002,lower,StateDistrict,state,2
011,45,45011-lower,HD-011,lower,StateDistrict,state,11
022,45,45022-lower,HD-022,lower,StateDistrict,state,22
035,45,45035-lower,HD-035,lower,StateDistrict,state,35
047,45,45047-lower,HD-047,lower,StateDistrict,state,47
057,45,45057-lower,HD-057,lower,StateDistrict,state,57
067,45,45067-lower,HD-067,lower,StateDistrict,state,67
080,45,45080-lower,HD-080,lower,StateDistrict,state,80
092,45,45092-lower,HD-092,lower,StateDistrict,state,92
103,45,45103-lower,HD-103,lower,StateDistrict,state,103
110,45,45110-lower,HD-110,lower,StateDistrict,state,110
119,45,45119-lower,HD-119,lower,StateDistrict,state,119
