code,state_code,full_code,name,chamber,type,level,open_states_name
033,45,45033-upper,33,upper,StateDistrict,state,33
044,45,45044-upper,44,upper,StateDistrict,state,44
008,45,45008-upper,8,upper,StateDistrict,state,8
009,45,45009-upper,9,upper,StateDistrict,state,9
013,45,45013-upper,13,upper,StateDistrict,state,13
014,45,45014-upper,14,upper,StateDistrict,state,14
016,45,45016-upper,16,upper,StateDistrict,state,16
017,45,45017-upper,17,upper,StateDistrict,state,17
018,45,45018-upper,18,upper,StateDistrict,state,18
019,45,45019-upper,19,upper,StateDistrict,state,19
021,45,45021-upper,21,upper,StateDistrict,state,21
022,45,45022-upper,22,upper,StateDistrict,state,22
023,45,45023-upper,23,upper,StateDistrict,state,23
024,45,45024-upper,24,upper,StateDistrict,state,24
025,45,45025-upper,25,upper,StateDistrict,state,25
027,45,45027-upper,27,upper,StateDistrict,state,27
028,45,45028-upper,28,upper,StateDistrict,state,28
029,45,45029-upper,29,upper,StateDistrict,state,29
030,45,45030-upper,30,upper,StateDistrict,state,30
003,45,45003-upper,3,upper,StateDistrict,state,3
032,45,45032-upper,32,upper,StateDistrict,state,32
034,45,45034-upper,34,upper,StateDistrict,state,34
035,45,45035-upper,35,upper,StateDistrict,state,35
036,45,45036-upper,36,upper,StateDistrict,state,36
038,45,45038-upper,38,upper,StateDistrict,state,38
039,45,45039-upper,39,upper,StateDistrict,state,39
040,45,45040-upper,40,upper,StateDistrict,state,40
041,45,45041-upper,41,upper,StateDistrict,state,41
004,45,45004-upper,4,upper,StateDistrict,state,4
043,45,45043-upper,43,upper,StateDistrict,state,43
045,45,45045-upper,45,upper,StateDistrict,state,45
046,45,45046-upper,46,upper,StateDistrict,state,46
005,45,45005-upper,5,upper,StateDistrict,state,5
007,45,45007-upper,7,upper,StateDistrict,state,7
012,45,45012-upper,12,upper,StateDistrict,state,12
020,45,45020-upper,20,upper,StateDistrict,state,20
002,45,45002-upper,2,upper,StateDistrict,state,2
026,45,45026-upper,26,upper,StateDistrict,state,26
042,45,45042-upper,42,upper,StateDistrict,state,42
006,45,45006-upper,6,upper,StateDistrict,state,6
010,45,45010-upper,10,upper,StateDistrict,state,10
011,45,45011-upper,11,upper,StateDistrict,state,11
001,45,45001-upper,1,upper,StateDistrict,state,1
015,45,45015-upper,15,upper,StateDistrict,state,15
031,45,45031-upper,31,upper,StateDistrict,state,31
037,45,45037-upper,37,upper,StateDistrict,state,37
