code,state_code,full_code,name,chamber,type,level,open_states_name
016,46,46016-lower,16,lower,StateDistrict,state,16
002,46,46002-lower,2,lower,StateDistrict,state,2
023,46,46023-lower,23,lower,StateDistrict,state,23
26A,46,4626A-lower,26A,lower,StateDistrict,state,26A
28A,46,4628A-lower,28A,lower,StateDistrict,state,28A
030,46,46030-lower,30,lower,StateDistrict,state,30
26B,46,4626B-lower,26B,lower,StateDistrict,state,26B
027,46,46027-lower,27,lower,StateDistrict,state,27
031,46,46031-lower,31,lower,StateDistrict,state,31
029,46,46029-lower,29,lower,StateDistrict,state,29
003,46,46003-lower,3,lower,StateDistrict,state,3
004,46,46004-lower,4,lower,StateDistrict,state,4
005,46,46005-lower,5,lower,StateDistrict,state,5
006,46,46006-lower,6,lower,StateDistrict,state,6
007,46,46007-lower,7,lower,StateDistrict,state,7
021,46,46021-lower,21,lower,StateDistrict,state,21
013,46,46013-lower,13,lower,StateDistrict,state,13
014,46,46014-lower,14,lower,StateDistrict,state,14
015,46,46015-lower,15,lower,StateDistrict,state,15
017,46,46017-lower,17,lower,StateDistrict,state,17
018,46,46018-lower,18,lower,StateDistrict,state,18
020,46,46020-lower,20,lower,StateDistrict,state,20
022,46,46022-lower,22,lower,StateDistrict,state,22
025,46,46025-lower,25,lower,StateDistrict,state,25
032,46,46032-lower,32,lower,StateDistrict,state,32
035,46,46035-lower,35,lower,StateDistrict,state,35
008,46,46008-lower,8,lower,StateDistrict,state,8
009,46,46009-lower,9,lower,StateDistrict,state,9
011,46,46011-lower,11,lower,StateDistrict,state,11
010,46,46010-lower,10,lower,StateDistrict,state,10
001,46,46001-lower,1,lower,StateDistrict,state,1
012,46,46012-lower,12,lower,StateDistrict,state,12
024,46,46024-lower,24,lower,StateDistrict,state,24
28B,46,4628B-lower,28B,lower,StateDistrict,state,28B
033,46,46033-lower,33,lower,StateDistrict,state,33
019,46,46019-lower,19,lower,StateDistrict,state,19
034,46,46034-lower,34,lower,StateDistrict,state,34
