code,state_code,full_code,name,chamber,type,level,open_states_name
010,46,46010-upper,10,upper,StateDistrict,state,10
001,46,46001-upper,1,upper,StateDistrict,state,1
013,46,46013-upper,13,upper,StateDistrict,state,13
014,46,46014-upper,14,upper,StateDistrict,state,14
015,46,46015-upper,15,upper,StateDistrict,state,15
016,46,46016-upper,16,upper,StateDistrict,state,16
019,46,46019-upper,19,upper,StateDistrict,state,19
020,46,46020-upper,20,upper,StateDistrict,state,20
002,46,46002-upper,2,upper,StateDistrict,state,2
023,46,46023-upper,23,upper,StateDistrict,state,23
026,46,46026-upper,26,upper,StateDistrict,state,26
027,46,46027-upper,27,upper,StateDistrict,state,27
029,46,46029-upper,29,upper,StateDistrict,state,29
033,46,46033-upper,33,upper,StateDistrict,state,33
035,46,46035-upper,35,upper,StateDistrict,state,35
004,46,46004-upper,4,upper,StateDistrict,state,4
009,46,46009-upper,9,upper,StateDistrict,state,9
012,46,46012-upper,12,upper,StateDistrict,state,12
018,46,46018-upper,18,upper,StateDistrict,state,18
022,46,46022-upper,22,upper,StateDistrict,state,22
025,46,46025-upper,25,upper,StateDistrict,state,25
028,46,46028-upper,28,upper,StateDistrict,state,28
031,46,46031-upper,31,upper,StateDistrict,state,31
003,46,46003-upper,3,upper,StateDistrict,state,3
032,46,46032-upper,32,upper,StateDistrict,state,32
005,46,46005-upper,5,upper,StateDistrict,state,5
007,46,46007-upper,7,upper,StateDistrict,state,7
008,46,46008-upper,8,upper,StateDistrict,state,8
011,46,46011-upper,11,upper,StateDistrict,state,11
017,46,46017-upper,17,upper,StateDistrict,state,17
024,46,46024-upper,24,upper,StateDistrict,state,24
034,46,46034-upper,34,upper,StateDistrict,state,34
021,46,46021-upper,21,upper,StateDistrict,state,21
030,46,46030-upper,30,upper,StateDistrict,state,30
006,46,46006-upper,6,upper,StateDistrict,state,6
