code,state_code,full_code,name,chamber,type,level,open_states_name
011,47,47011-lower,11,lower,StateDistrict,state,11
016,47,47016-lower,16,lower,StateDistrict,state,16
020,47,47020-lower,20,lower,StateDistrict,state,20
002,47,47002-lower,2,lower,StateDistrict,state,2
023,47,47023-lower,23,lower,StateDistrict,state,23
024,47,47024-lower,24,lower,StateDistrict,state,24
026,47,47026-lower,26,lower,StateDistrict,state,26
003,47,47003-lower,3,lower,StateDistrict,state,3
032,47,47032-lower,32,lower,StateDistrict,state,32
034,47,47034-lower,34,lower,StateDistrict,state,34
062,47,47062-lower,62,lower,StateDistrict,state,62
072,47,47072-lower,72,lower,StateDistrict,state,72
037,47,47037-lower,37,lower,StateDistrict,state,37
042,47,47042-lower,42,lower,StateDistrict,state,42
043,47,47043-lower,43,lower,StateDistrict,state,43
044,47,47044-lower,44,lower,StateDistrict,state,44
046,47,47046-lower,46,lower,StateDistrict,state,46
048,47,47048-lower,48,lower,StateDistrict,state,48
052,47,47052-lower,52,lower,StateDistrict,state,52
006,47,47006-lower,6,lower,StateDistrict,state,6
086,47,47086-lower,86,lower,StateDistrict,state,86
069,47,47069-lower,69,lower,StateDistrict,state,69
007,47,47007-lower,7,lower,StateDistrict,state,7
073,47,47073-lower,73,lower,StateDistrict,state,73
080,47,47080-lower,80,lower,StateDistrict,state,80
008,47,47008-lower,8,lower,StateDistrict,state,8
089,47,47089-lower,89,lower,StateDistrict,state,89
092,47,47092-lower,92,lower,StateDistrict,state,92
013,47,47013-lower,13,lower,StateDistrict,state,13
012,47,47012-lower,12,lower,StateDistrict,state,12
015,47,47015-lower,15,lower,StateDistrict,state,15
018,47,47018-lower,18,lower,StateDistrict,state,18
019,47,47019-lower,19,lower,StateDistrict,state,19
025,47,47025-lower,25,lower,StateDistrict,state,25
027,47,47027-lower,27,lower,StateDistrict,state,27
029,47,47029-lower,29,lower,StateDistrict,state,29
030,47,47030-lower,30,lower,StateDistrict,state,30
033,47,47033-lower,33,lower,StateDistrict,state,33
038,47,47038-lower,38,lower,StateDistrict,state,38
039,47,47039-lower,39,lower,StateDistrict,state,39
040,47,47040-lower,40,lower,StateDistrict,state,40
041,47,47041-lower,41,lower,StateDistrict,state,41
049,47,47049-lower,49,lower,StateDistrict,state,49
050,47,47050-lower,50,lower,StateDistrict,state,50
051,47,47051-lower,51,lower,StateDistrict,state,51
005,47,47005-lower,5,lower,StateDistrict,state,5
054,47,47054-lower,54,lower,StateDistrict,state,54
055,47,47055-lower,55,lower,StateDistrict,state,55
056,47,47056-lower,56,lower,StateDistrict,state,56
057,47,47057-lower,57,lower,StateDistrict,state,57
058,47,47058-lower,58,lower,StateDistrict,state,58
060,47,47060-lower,60,lower,StateDistrict,state,60
061,47,47061-lower,61,lower,StateDistrict,state,61
064,47,47064-lower,64,lower,StateDistrict,state,64
065,47,47065-lower,65,lower,StateDistrict,state,65
067,47,47067-lower,67,lower,StateDistrict,state,67
068,47,47068-lower,68,lower,StateDistrict,state,68
070,47,47070-lower,70,lower,StateDistrict,state,70
071,47,47071-lower,71,lower,StateDistrict,state,71
074,47,47074-lower,74,lower,StateDistrict,state,74
076,47,47076-lower,76,lower,StateDistrict,state,76
077,47,47077-lower,77,lower,StateDistrict,state,77
078,47,47078-lower,78,lower,StateDistrict,state,78
081,47,47081-lower,81,lower,StateDistrict,state,81
083,47,47083-lower,83,lower,StateDistrict,state,83
084,47,47084-lower,84,lower,StateDistrict,state,84
085,47,47085-lower,85,lower,StateDistrict,state,85
087,47,47087-lower,87,lower,StateDistrict,state,87
090,47,47090-lower,90,lower,StateDistrict,state,90
091,47,47091-lower,91,lower,StateDistrict,state,91
093,47,47093-lower,93,lower,StateDistrict,state,93
094,47,47094-lower,94,lower,StateDistrict,state,94
095,47,47095-lower,95,lower,StateDistrict,state,95
097,47,47097-lower,97,lower,StateDistrict,state,97
098,47,47098-lower,98,lower,StateDistrict,state,98
099,47,47099-lower,99,lower,StateDistrict,state,99
035,47,47035-lower,35,lower,StateDistrict,state,35
014,47,47014-lower,14,lower,StateDistrict,state,14
010,47,47010-lower,10,lower,StateDistrict,state,10
001,47,47001-lower,1,lower,StateDistrict,state,1
017,47,47017-lower,17,lower,StateDistrict,state,17
021,47,47021-lower,21,lower,StateDistrict,state,21
028,47,47028-lower,28,lower,StateDistrict,state,28
031,47,47031-lower,31,lower,StateDistrict,state,31
036,47,47036-lower,36,lower,StateDistrict,state,36
004,47,47004-lower,4,lower,StateDistrict,state,4
045,47,47045-lower,45,lower,StateDistrict,state,45
047,47,47047-lower,47,lower,StateDistrict,state,47
053,47,47053-lower,53,lower,StateDistrict,state,53
059,47,47059-lower,59,lower,StateDistrict,state,59
063,47,47063-lower,63,lower,StateDistrict,state,63
066,47,47066-lower,66,lower,StateDistrict,state,66
075,47,47075-lower,75,lower,StateDistrict,state,75
079,47,47079-lower,79,lower,StateDistrict,state,79
082,47,47082-lower,82,lower,StateDistrict,state,82
088,47,47088-lower,88,lower,StateDistrict,state,88
009,47,47009-lower,9,lower,StateDistrict,state,9
096,47,47096-lower,96,lower,StateDistrict,state,96
022,47,47022-lower,22,lower,StateDistrict,state,22
