code,state_code,full_code,name,chamber,type,level,open_states_name
026,47,47026-upper,26,upper,StateDistrict,state,26
005,47,47005-upper,5,upper,StateDistrict,state,5
010,47,47010-upper,10,upper,StateDistrict,state,10
011,47,47011-upper,11,upper,StateDistrict,state,11
015,47,47015-upper,15,upper,StateDistrict,state,15
016,47,47016-upper,16,upper,StateDistrict,state,16
019,47,47019-upper,19,upper,StateDistrict,state,19
020,47,47020-upper,20,upper,StateDistrict,state,20
028,47,47028-upper,28,upper,StateDistrict,state,28
029,47,47029-upper,29,upper,StateDistrict,state,29
030,47,47030-upper,30,upper,StateDistrict,state,30
003,47,47003-upper,3,upper,StateDistrict,state,3
013,47,47013-upper,13,upper,StateDistrict,state,13
007,47,47007-upper,7,upper,StateDistrict,state,7
014,47,47014-upper,14,upper,StateDistrict,state,14
018,47,47018-upper,18,upper,StateDistrict,state,18
002,47,47002-upper,2,upper,StateDistrict,state,2
024,47,47024-upper,24,upper,StateDistrict,state,24
025,47,47025-upper,25,upper,StateDistrict,state,25
027,47,47027-upper,27,upper,StateDistrict,state,27
032,47,47032-upper,32,upper,StateDistrict,state,32
004,47,47004-upper,4,upper,StateDistrict,state,4
009,47,47009-upper,9,upper,StateDistrict,state,9
012,47,47012-upper,12,upper,StateDistrict,state,12
033,47,47033-upper,33,upper,StateDistrict,state,33
008,47,47008-upper,8,upper,StateDistrict,state,8
001,47,47001-upper,1,upper,StateDistrict,state,1
017,47,47017-upper,17,upper,StateDistrict,state,17
021,47,47021-upper,21,upper,StateDistrict,state,21
031,47,47031-upper,31,upper,StateDistrict,state,31
022,47,47022-upper,22,upper,StateDistrict,state,22
023,47,47023-upper,23,upper,StateDistrict,state,23
006,47,47006-upper,6,upper,StateDistrict,state,6
