code,state_code,full_code,name,chamber,type,level,open_states_name
010,48,48010-lower,10,lower,StateDistrict,state,10
122,48,48122-lower,122,lower,StateDistrict,state,122
105,48,48105-lower,105,lower,StateDistrict,state,105
106,48,48106-lower,106,lower,StateDistrict,state,106
107,48,48107-lower,107,lower,StateDistrict,state,107
109,48,48109-lower,109,lower,StateDistrict,state,109
011,48,48011-lower,11,lower,StateDistrict,state,11
141,48,48141-lower,141,lower,StateDistrict,state,141
117,48,48117-lower,117,lower,StateDistrict,state,117
118,48,48118-lower,118,lower,StateDistrict,state,118
001,48,48001-lower,1,lower,StateDistrict,state,1
142,48,48142-lower,142,lower,StateDistrict,state,142
130,48,48130-lower,130,lower,StateDistrict,state,130
013,48,48013-lower,13,lower,StateDistrict,state,13
017,48,48017-lower,17,lower,StateDistrict,state,17
014,48,48014-lower,14,lower,StateDistrict,state,14
018,48,48018-lower,18,lower,StateDistrict,state,18
143,48,48143-lower,143,lower,StateDistrict,state,143
144,48,48144-lower,144,lower,StateDistrict,state,144
150,48,48150-lower,150,lower,StateDistrict,state,150
016,48,48016-lower,16,lower,StateDistrict,state,16
020,48,48020-lower,20,lower,StateDistrict,state,20
021,48,48021-lower,21,lower,StateDistrict,state,21
002,48,48002-lower,2,lower,StateDistrict,state,2
022,48,48022-lower,22,lower,StateDistrict,state,22
024,48,48024-lower,24,lower,StateDistrict,state,24
025,48,48025-lower,25,lower,StateDistrict,state,25
026,48,48026-lower,26,lower,StateDistrict,state,26
028,48,48028-lower,28,lower,StateDistrict,state,28
029,48,48029-lower,29,lower,StateDistrict,state,29
031,48,48031-lower,31,lower,StateDistrict,state,31
003,48,48003-lower,3,lower,StateDistrict,state,3
032,48,48032-lower,32,lower,StateDistrict,state,32
052,48,48052-lower,52,lower,StateDistrict,state,52
063,48,48063-lower,63,lower,StateDistrict,state,63
033,48,48033-lower,33,lower,StateDistrict,state,33
035,48,48035-lower,35,lower,StateDistrict,state,35
036,48,48036-lower,36,lower,StateDistrict,state,36
037,48,48037-lower,37,lower,StateDistrict,state,37
038,48,48038-lower,38,lower,StateDistrict,state,38
043,48,48043-lower,43,lower,StateDistrict,state,43
044,48,48044-lower,44,lower,StateDistrict,state,44
047,48,48047-lower,47,lower,StateDistrict,state,47
048,48,48048-lower,48,lower,StateDistrict,state,48
005,48,48005-lower,5,lower,StateDistrict,state,5
073,48,48073-lower,73,lower,StateDistrict,state,73
053,48,48053-lower,53,lower,StateDistrict,state,53
056,48,48056-lower,56,lower,StateDistrict,state,56
058,48,48058-lower,58,lower,StateDistrict,state,58
059,48,48059-lower,59,lower,StateDistrict,state,59
060,48,48060-lower,60,lower,StateDistrict,state,60
006,48,48006-lower,6,lower,StateDistrict,state,6
