code,state_code,full_code,name,chamber,type,level,open_states_name
031,48,48031-upper,31,upper,StateDistrict,state,31
010,48,48010-upper,10,upper,StateDistrict,state,10
013,48,48013-upper,13,upper,StateDistrict,state,13
002,48,48002-upper,2,upper,StateDistrict,state,2
001,48,48001-upper,1,upper,StateDistrict,state,1
006,48,48006-upper,6,upper,StateDistrict,state,6
012,48,48012-upper,12,upper,StateDistrict,state,12
014,48,48014-upper,14,upper,StateDistrict,state,14
017,48,48017-upper,17,upper,StateDistrict,state,17
019,48,48019-upper,19,upper,StateDistrict,state,19
022,48,48022-upper,22,upper,StateDistrict,state,22
024,48,48024-upper,24,upper,StateDistrict,state,24
025,48,48025-upper,25,upper,StateDistrict,state,25
028,48,48028-upper,28,upper,StateDistrict,state,28
030,48,48030-upper,30,upper,StateDistrict,state,30
003,48,48003-upper,3,upper,StateDistrict,state,3
004,48,48004-upper,4,upper,StateDistrict,state,4
008,48,48008-upper,8,upper,StateDistrict,state,8
018,48,48018-upper,18,upper,StateDistrict,state,18
020,48,48020-upper,20,upper,StateDistrict,state,20
027,48,48027-upper,27,upper,StateDistrict,state,27
029,48,48029-upper,29,upper,StateDistrict,state,29
009,48,48009-upper,9,upper,StateDistrict,state,9
015,48,48015-upper,15,upper,StateDistrict,state,15
023,48,48023-upper,23,upper,StateDistrict,state,23
011,48,48011-upper,11,upper,StateDistrict,state,11
016,48,48016-upper,16,upper,StateDistrict,state,16
021,48,48021-upper,21,upper,StateDistrict,state,21
026,48,48026-upper,26,upper,StateDistrict,state,26
005,48,48005-upper,5,upper,StateDistrict,state,5
007,48,48007-upper,7,upper,StateDistrict,state,7
