code,state_code,full_code,name,chamber,type,level,open_states_name
013,49,49013-lower,13,lower,StateDistrict,state,13
014,49,49014-lower,14,lower,StateDistrict,state,14
015,49,49015-lower,15,lower,StateDistrict,state,15
016,49,49016-lower,16,lower,StateDistrict,state,16
019,49,49019-lower,19,lower,StateDistrict,state,19
018,49,49018-lower,18,lower,StateDistrict,state,18
020,49,49020-lower,20,lower,StateDistrict,state,20
023,49,49023-lower,23,lower,StateDistrict,state,23
024,49,49024-lower,24,lower,StateDistrict,state,24
025,49,49025-lower,25,lower,StateDistrict,state,25
026,49,49026-lower,26,lower,StateDistrict,state,26
028,49,49028-lower,28,lower,StateDistrict,state,28
030,49,49030-lower,30,lower,StateDistrict,state,30
029,49,49029-lower,29,lower,StateDistrict,state,29
062,49,49062-lower,62,lower,StateDistrict,state,62
031,49,49031-lower,31,lower,StateDistrict,state,31
032,49,49032-lower,32,lower,StateDistrict,state,32
033,49,49033-lower,33,lower,StateDistrict,state,33
034,49,49034-lower,34,lower,StateDistrict,state,34
035,49,49035-lower,35,lower,StateDistrict,state,35
037,49,49037-lower,37,lower,StateDistrict,state,37
038,49,49038-lower,38,lower,StateDistrict,state,38
039,49,49039-lower,39,lower,StateDistrict,state,39
040,49,49040-lower,40,lower,StateDistrict,state,40
041,49,49041-lower,41,lower,StateDistrict,state,41
042,49,49042-lower,42,lower,StateDistrict,state,42
043,49,49043-lower,43,lower,StateDistrict,state,43
044,49,49044-lower,44,lower,StateDistrict,state,44
045,49,49045-lower,45,lower,StateDistrict,state,45
047,49,49047-lower,47,lower,StateDistrict,state,47
048,49,49048-lower,48,lower,StateDistrict,state,48
049,49,49049-lower,49,lower,StateDistrict,state,49
050,49,49050-lower,50,lower,StateDistrict,state,50
005,49,49005-lower,5,lower,StateDistrict,state,5
072,49,49072-lower,72,lower,StateDistrict,state,72
053,49,49053-lower,53,lower,StateDistrict,state,53
054,49,49054-lower,54,lower,StateDistrict,state,54
056,49,49056-lower,56,lower,StateDistrict,state,56
057,49,49057-lower,57,lower,StateDistrict,state,57
058,49,49058-lower,58,lower,StateDistrict,state,58
059,49,49059-lower,59,lower,StateDistrict,state,59
061,49,49061-lower,61,lower,StateDistrict,state,61
006,49,49006-lower,6,lower,StateDistrict,state,6
009,49,49009-lower,9,lower,StateDistrict,state,9
063,49,49063-lower,63,lower,StateDistrict,state,63
065,49,49065-lower,65,lower,StateDistrict,state,65
066,49,49066-lower,66,lower,StateDistrict,state,66
067,49,49067-lower,67,lower,StateDistrict,state,67
068,49,49068-lower,68,lower,StateDistrict,state,68
069,49,49069-lower,69,lower,StateDistrict,state,69
071,49,49071-lower,71,lower,StateDistrict,state,71
007,49,49007-lower,7,lower,StateDistrict,state,7
073,49,49073-lower,73,lower,StateDistrict,state,73
075,49,49075-lower,75,lower,StateDistrict,state,75
008,49,49008-lower,8,lower,StateDistrict,state,8
021,49,49021-lower,21,lower,StateDistrict,state,21
002,49,49002-lower,2,lower,StateDistrict,state,2
052,49,49052-lower,52,lower,StateDistrict,state,52
011,49,49011-lower,11,lower,StateDistrict,state,11
001,49,49001-lower,1,lower,StateDistrict,state,1
012,49,49012-lower,12,lower,StateDistrict,state,12
017,49,49017-lower,17,lower,StateDistrict,state,17
022,49,49022-lower,22,lower,StateDistrict,state,22
027,49,49027-lower,27,lower,StateDistrict,state,27
003,49,49003-lower,3,lower,StateDistrict,state,3
036,49,49036-lower,36,lower,StateDistrict,state,36
004,49,49004-lower,4,lower,StateDistrict,state,4
046,49,49046-lower,46,lower,StateDistrict,state,46
051,49,49051-lower,51,lower,StateDistrict,state,51
055,49,49055-lower,55,lower,StateDistrict,state,55
060,49,49060-lower,60,lower,StateDistrict,state,60
064,49,49064-lower,64,lower,StateDistrict,state,64
070,49,49070-lower,70,lower,StateDistrict,state,70
074,49,49074-lower,74,lower,StateDistrict,state,74
010,49,49010-lower,10,lower,StateDistrict,state,10
