code,state_code,full_code,name,chamber,type,level,open_states_name
017,49,49017-upper,17,upper,StateDistrict,state,17
027,49,49027-upper,27,upper,StateDistrict,state,27
028,49,49028-upper,28,upper,StateDistrict,state,28
016,49,49016-upper,16,upper,StateDistrict,state,16
019,49,49019-upper,19,upper,StateDistrict,state,19
009,49,49009-upper,9,upper,StateDistrict,state,9
024,49,49024-upper,24,upper,StateDistrict,state,24
004,49,49004-upper,4,upper,StateDistrict,state,4
005,49,49005-upper,5,upper,StateDistrict,state,5
001,49,49001-upper,1,upper,StateDistrict,state,1
013,49,49013-upper,13,upper,StateDistrict,state,13
014,49,49014-upper,14,upper,StateDistrict,state,14
018,49,49018-upper,18,upper,StateDistrict,state,18
020,49,49020-upper,20,upper,StateDistrict,state,20
021,49,49021-upper,21,upper,StateDistrict,state,21
002,49,49002-upper,2,upper,StateDistrict,state,2
022,49,49022-upper,22,upper,StateDistrict,state,22
025,49,49025-upper,25,upper,StateDistrict,state,25
026,49,49026-upper,26,upper,StateDistrict,state,26
029,49,49029-upper,29,upper,StateDistrict,state,29
003,49,49003-upper,3,upper,StateDistrict,state,3
007,49,49007-upper,7,upper,StateDistrict,state,7
008,49,49008-upper,8,upper,StateDistrict,state,8
011,49,49011-upper,11,upper,StateDistrict,state,11
012,49,49012-upper,12,upper,StateDistrict,state,12
010,49,49010-upper,10,upper,StateDistrict,state,10
015,49,49015-upper,15,upper,StateDistrict,state,15
023,49,49023-upper,23,upper,StateDistrict,state,23
006,49,49006-upper,6,upper,StateDistrict,state,6
