code,state_code,full_code,name,chamber,type,level,open_states_name
A-3,50,50A-3-lower,Addison-3,lower,StateDistrict,state,Addison-3
A-5,50,50A-5-lower,Addison-5,lower,StateDistrict,state,Addison-5
A-R,50,50A-R-lower,Addison-Rutland,lower,StateDistrict,state,Addison-Rutland
B-3,50,50B-3-lower,Bennington-3,lower,StateDistrict,state,Bennington-3
B-4,50,50B-4-lower,Bennington-4,lower,StateDistrict,state,Bennington-4
CA1,50,50CA1-lower,Caledonia-1,lower,StateDistrict,state,Caledonia-1
CA4,50,50CA4-lower,Caledonia-4,lower,StateDistrict,state,Caledonia-4
CAW,50,50CAW-lower,Caledonia-Washington,lower,StateDistrict,state,Caledonia-Washington
C-1,50,50C-1-lower,Chittenden-1,lower,StateDistrict,state,Chittenden-1
C-3,50,50C-3-lower,Chittenden-3,lower,StateDistrict,state,Chittenden-3
C42,50,50C42-lower,Chittenden-4-2,lower,StateDistrict,state,Chittenden-4-2
C63,50,50C63-lower,Chittenden-6-3,lower,StateDistrict,state,Chittenden-6-3
C64,50,50C64-lower,Chittenden-6-4,lower,StateDistrict,state,Chittenden-6-4
C66,50,50C66-lower,Chittenden-6-6,lower,StateDistrict,state,Chittenden-6-6
C73,50,50C73-lower,Chittenden-7-3,lower,StateDistrict,state,Chittenden-7-3
C82,50,50C82-lower,Chittenden-8-2,lower,StateDistrict,state,Chittenden-8-2
C83,50,50C83-lower,Chittenden-8-3,lower,StateDistrict,state,Chittenden-8-3
C92,50,50C92-lower,Chittenden-9-2,lower,StateDistrict,state,Chittenden-9-2
E-C,50,50E-C-lower,Essex-Caledonia,lower,StateDistrict,state,Essex-Caledonia
F-1,50,50F-1-lower,Franklin-1,lower,StateDistrict,state,Franklin-1
F-4,50,50F-4-lower,Franklin-4,lower,StateDistrict,state,Franklin-4
F-6,50,50F-6-lower,Franklin-6,lower,StateDistrict,state,Franklin-6
F-7,50,50F-7-lower,Franklin-7,lower,StateDistrict,state,Franklin-7
LM2,50,50LM2-lower,Lamoille-2,lower,StateDistrict,state,Lamoille-2
LM3,50,50LM3-lower,Lamoille-3,lower,StateDistrict,state,Lamoille-3
OR2,50,50OR2-lower,Orange-2,lower,StateDistrict,state,Orange-2
O-2,50,50O-2-lower,Orleans-2,lower,StateDistrict,state,Orleans-2
R-1,50,50R-1-lower,Rutland-1,lower,StateDistrict,state,Rutland-1
R52,50,50R52-lower,Rutland-5-2,lower,StateDistrict,state,Rutland-5-2
R-6,50,50R-6-lower,Rutland-6,lower,StateDistrict,state,Rutland-6
