code,state_code,full_code,name,chamber,type,level,open_states_name
ADD,50,50ADD-upper,Addison,upper,StateDistrict,state,Addison
CAL,50,50CAL-upper,Caledonia,upper,StateDistrict,state,Caledonia
CHI,50,50CHI-upper,Chittenden,upper,StateDistrict,state,Chittenden
FRA,50,50FRA-upper,Franklin,upper,StateDistrict,state,Franklin
LAM,50,50LAM-upper,Lamoille,upper,StateDistrict,state,Lamoille
ORA,50,50ORA-upper,Orange,upper,StateDistrict,state,Orange
RUT,50,50RUT-upper,Rutland,upper,StateDistrict,state,Rutland
WDM,50,50WDM-upper,Windham,upper,StateDistrict,state,Windham
WSR,50,50WSR-upper,Windsor,upper,StateDistrict,state,Windsor
CGI,50,50CGI-upper,Grand-Isle-Chittenden,upper,StateDistrict,state,Chittenden-Grand Isle
BEN,50,50BEN-upper,Bennington,upper,StateDistrict,state,Bennington
E-O,50,50E-O-upper,Essex-Orleans,upper,StateDistrict,state,Essex-Orleans
WAS,50,50WAS-upper,Washington,upper,StateDistrict,state,Washington
