code,state_code,full_code,name,chamber,type,level,open_states_name
001,51,51001-lower,1,lower,StateDistrict,state,1
018,51,51018-lower,18,lower,StateDistrict,state,18
019,51,51019-lower,19,lower,StateDistrict,state,19
022,51,51022-lower,22,lower,StateDistrict,state,22
026,51,51026-lower,26,lower,StateDistrict,state,26
030,51,51030-lower,30,lower,StateDistrict,state,30
031,51,51031-lower,31,lower,StateDistrict,state,31
034,51,51034-lower,34,lower,StateDistrict,state,34
004,51,51004-lower,4,lower,StateDistrict,state,4
042,51,51042-lower,42,lower,StateDistrict,state,42
056,51,51056-lower,56,lower,StateDistrict,state,56
081,51,51081-lower,81,lower,StateDistrict,state,81
051,51,51051-lower,51,lower,StateDistrict,state,51
005,51,51005-lower,5,lower,StateDistrict,state,5
096,51,51096-lower,96,lower,StateDistrict,state,96
060,51,51060-lower,60,lower,StateDistrict,state,60
061,51,51061-lower,61,lower,StateDistrict,state,61
062,51,51062-lower,62,lower,StateDistrict,state,62
064,51,51064-lower,64,lower,StateDistrict,state,64
007,51,51007-lower,7,lower,StateDistrict,state,7
008,51,51008-lower,8,lower,StateDistrict,state,8
015,51,51015-lower,15,lower,StateDistrict,state,15
017,51,51017-lower,17,lower,StateDistrict,state,17
013,51,51013-lower,13,lower,StateDistrict,state,13
016,51,51016-lower,16,lower,StateDistrict,state,16
002,51,51002-lower,2,lower,StateDistrict,state,2
027,51,51027-lower,27,lower,StateDistrict,state,27
029,51,51029-lower,29,lower,StateDistrict,state,29
032,51,51032-lower,32,lower,StateDistrict,state,32
003,51,51003-lower,3,lower,StateDistrict,state,3
037,51,51037-lower,37,lower,StateDistrict,state,37
036,51,51036-lower,36,lower,StateDistrict,state,36
038,51,51038-lower,38,lower,StateDistrict,state,38
039,51,51039-lower,39,lower,StateDistrict,state,39
044,51,51044-lower,44,lower,StateDistrict,state,44
045,51,51045-lower,45,lower,StateDistrict,state,45
046,51,51046-lower,46,lower,StateDistrict,state,46
047,51,51047-lower,47,lower,StateDistrict,state,47
049,51,51049-lower,49,lower,StateDistrict,state,49
050,51,51050-lower,50,lower,StateDistrict,state,50
052,51,51052-lower,52,lower,StateDistrict,state,52
053,51,51053-lower,53,lower,StateDistrict,state,53
054,51,51054-lower,54,lower,StateDistrict,state,54
058,51,51058-lower,58,lower,StateDistrict,state,58
059,51,51059-lower,59,lower,StateDistrict,state,59
006,51,51006-lower,6,lower,StateDistrict,state,6
065,51,51065-lower,65,lower,StateDistrict,state,65
067,51,51067-lower,67,lower,StateDistrict,state,67
068,51,51068-lower,68,lower,StateDistrict,state,68
069,51,51069-lower,69,lower,StateDistrict,state,69
070,51,51070-lower,70,lower,StateDistrict,state,70
072,51,51072-lower,72,lower,StateDistrict,state,72
073,51,51073-lower,73,lower,StateDistrict,state,73
074,51,51074-lower,74,lower,StateDistrict,state,74
075,51,51075-lower,75,lower,StateDistrict,state,75
077,51,51077-lower,77,lower,StateDistrict,state,77
078,51,51078-lower,78,lower,StateDistrict,state,78
079,51,51079-lower,79,lower,StateDistrict,state,79
080,51,51080-lower,80,lower,StateDistrict,state,80
082,51,51082-lower,82,lower,StateDistrict,state,82
084,51,51084-lower,84,lower,StateDistrict,state,84
085,51,51085-lower,85,lower,StateDistrict,state,85
086,51,51086-lower,86,lower,StateDistrict,state,86
087,51,51087-lower,87,lower,StateDistrict,state,87
089,51,51089-lower,89,lower,StateDistrict,state,89
090,51,51090-lower,90,lower,StateDistrict,state,90
091,51,51091-lower,91,lower,StateDistrict,state,91
009,51,51009-lower,9,lower,StateDistrict,state,9
020,51,51020-lower,20,lower,StateDistrict,state,20
095,51,51095-lower,95,lower,StateDistrict,state,95
097,51,51097-lower,97,lower,StateDistrict,state,97
098,51,51098-lower,98,lower,StateDistrict,state,98
099,51,51099-lower,99,lower,StateDistrict,state,99
023,51,51023-lower,23,lower,StateDistrict,state,23
025,51,51025-lower,25,lower,StateDistrict,state,25
033,51,51033-lower,33,lower,StateDistrict,state,33
041,51,51041-lower,41,lower,StateDistrict,state,41
094,51,51094-lower,94,lower,StateDistrict,state,94
012,51,51012-lower,12,lower,StateDistrict,state,12
100,51,51100-lower,100,lower,StateDistrict,state,100
011,51,51011-lower,11,lower,StateDistrict,state,11
014,51,51014-lower,14,lower,StateDistrict,state,14
021,51,51021-lower,21,lower,StateDistrict,state,21
024,51,51024-lower,24,lower,StateDistrict,state,24
028,51,51028-lower,28,lower,StateDistrict,state,28
035,51,51035-lower,35,lower,StateDistrict,state,35
040,51,51040-lower,40,lower,StateDistrict,state,40
043,51,51043-lower,43,lower,StateDistrict,state,43
048,51,51048-lower,48,lower,StateDistrict,state,48
055,51,51055-lower,55,lower,StateDistrict,state,55
057,51,51057-lower,57,lower,StateDistrict,state,57
063,51,51063-lower,63,lower,StateDistrict,state,63
066,51,51066-lower,66,lower,StateDistrict,state,66
071,51,51071-lower,71,lower,StateDistrict,state,71
076,51,51076-lower,76,lower,StateDistrict,state,76
083,51,51083-lower,83,lower,StateDistrict,state,83
088,51,51088-lower,88,lower,StateDistrict,state,88
092,51,51092-lower,92,lower,StateDistrict,state,92
093,51,51093-lower,93,lower,StateDistrict,state,93
010,51,51010-lower,10,lower,StateDistrict,state,10
