code,state_code,full_code,name,chamber,type,level,open_states_name
001,51,51001-upper,1,upper,StateDistrict,state,1
028,51,51028-upper,28,upper,StateDistrict,state,28
029,51,51029-upper,29,upper,StateDistrict,state,29
034,51,51034-upper,34,upper,StateDistrict,state,34
040,51,51040-upper,40,upper,StateDistrict,state,40
006,51,51006-upper,6,upper,StateDistrict,state,6
011,51,51011-upper,11,upper,StateDistrict,state,11
013,51,51013-upper,13,upper,StateDistrict,state,13
014,51,51014-upper,14,upper,StateDistrict,state,14
015,51,51015-upper,15,upper,StateDistrict,state,15
030,51,51030-upper,30,upper,StateDistrict,state,30
012,51,51012-upper,12,upper,StateDistrict,state,12
020,51,51020-upper,20,upper,StateDistrict,state,20
033,51,51033-upper,33,upper,StateDistrict,state,33
037,51,51037-upper,37,upper,StateDistrict,state,37
039,51,51039-upper,39,upper,StateDistrict,state,39
010,51,51010-upper,10,upper,StateDistrict,state,10
016,51,51016-upper,16,upper,StateDistrict,state,16
017,51,51017-upper,17,upper,StateDistrict,state,17
002,51,51002-upper,2,upper,StateDistrict,state,2
022,51,51022-upper,22,upper,StateDistrict,state,22
023,51,51023-upper,23,upper,StateDistrict,state,23
025,51,51025-upper,25,upper,StateDistrict,state,25
027,51,51027-upper,27,upper,StateDistrict,state,27
031,51,51031-upper,31,upper,StateDistrict,state,31
003,51,51003-upper,3,upper,StateDistrict,state,3
032,51,51032-upper,32,upper,StateDistrict,state,32
035,51,51035-upper,35,upper,StateDistrict,state,35
004,51,51004-upper,4,upper,StateDistrict,state,4
005,51,51005-upper,5,upper,StateDistrict,state,5
007,51,51007-upper,7,upper,StateDistrict,state,7
009,51,51009-upper,9,upper,StateDistrict,state,9
021,51,51021-upper,21,upper,StateDistrict,state,21
024,51,51024-upper,24,upper,StateDistrict,state,24
038,51,51038-upper,38,upper,StateDistrict,state,38
018,51,51018-upper,18,upper,StateDistrict,state,18
019,51,51019-upper,19,upper,StateDistrict,state,19
026,51,51026-upper,26,upper,StateDistrict,state,26
036,51,51036-upper,36,upper,StateDistrict,state,36
008,51,51008-upper,8,upper,StateDistrict,state,8
