code,state_code,full_code,name,chamber,type,level,open_states_name
012,53,53012-lower,12,lower,StateDistrict,state,12
013,53,53013-lower,13,lower,StateDistrict,state,13
014,53,53014-lower,14,lower,StateDistrict,state,14
018,53,53018-lower,18,lower,StateDistrict,state,18
002,53,53002-lower,2,lower,StateDistrict,state,2
020,53,53020-lower,20,lower,StateDistrict,state,20
022,53,53022-lower,22,lower,StateDistrict,state,22
026,53,53026-lower,26,lower,StateDistrict,state,26
028,53,53028-lower,28,lower,StateDistrict,state,28
030,53,53030-lower,30,lower,StateDistrict,state,30
029,53,53029-lower,29,lower,StateDistrict,state,29
032,53,53032-lower,32,lower,StateDistrict,state,32
034,53,53034-lower,34,lower,StateDistrict,state,34
036,53,53036-lower,36,lower,StateDistrict,state,36
037,53,53037-lower,37,lower,StateDistrict,state,37
038,53,53038-lower,38,lower,StateDistrict,state,38
004,53,53004-lower,4,lower,StateDistrict,state,4
039,53,53039-lower,39,lower,StateDistrict,state,39
041,53,53041-lower,41,lower,StateDistrict,state,41
042,53,53042-lower,42,lower,StateDistrict,state,42
043,53,53043-lower,43,lower,StateDistrict,state,43
046,53,53046-lower,46,lower,StateDistrict,state,46
005,53,53005-lower,5,lower,StateDistrict,state,5
007,53,53007-lower,7,lower,StateDistrict,state,7
006,53,53006-lower,6,lower,StateDistrict,state,6
008,53,53008-lower,8,lower,StateDistrict,state,8
015,53,53015-lower,15,lower,StateDistrict,state,15
017,53,53017-lower,17,lower,StateDistrict,state,17
019,53,53019-lower,19,lower,StateDistrict,state,19
023,53,53023-lower,23,lower,StateDistrict,state,23
027,53,53027-lower,27,lower,StateDistrict,state,27
003,53,53003-lower,3,lower,StateDistrict,state,3
033,53,53033-lower,33,lower,StateDistrict,state,33
045,53,53045-lower,45,lower,StateDistrict,state,45
047,53,53047-lower,47,lower,StateDistrict,state,47
048,53,53048-lower,48,lower,StateDistrict,state,48
010,53,53010-lower,10,lower,StateDistrict,state,10
011,53,53011-lower,11,lower,StateDistrict,state,11
025,53,53025-lower,25,lower,StateDistrict,state,25
001,53,53001-lower,1,lower,StateDistrict,state,1
016,53,53016-lower,16,lower,StateDistrict,state,16
021,53,53021-lower,21,lower,StateDistrict,state,21
024,53,53024-lower,24,lower,StateDistrict,state,24
031,53,53031-lower,31,lower,StateDistrict,state,31
035,53,53035-lower,35,lower,StateDistrict,state,35
040,53,53040-lower,40,lower,StateDistrict,state,40
044,53,53044-lower,44,lower,StateDistrict,state,44
049,53,53049-lower,49,lower,StateDistrict,state,49
009,53,53009-lower,9,lower,StateDistrict,state,9
