code,state_code,full_code,name,chamber,type,level,open_states_name
001,53,53001-upper,1,upper,StateDistrict,state,1
019,53,53019-upper,19,upper,StateDistrict,state,19
002,53,53002-upper,2,upper,StateDistrict,state,2
023,53,53023-upper,23,upper,StateDistrict,state,23
028,53,53028-upper,28,upper,StateDistrict,state,28
031,53,53031-upper,31,upper,StateDistrict,state,31
038,53,53038-upper,38,upper,StateDistrict,state,38
039,53,53039-upper,39,upper,StateDistrict,state,39
044,53,53044-upper,44,upper,StateDistrict,state,44
045,53,53045-upper,45,upper,StateDistrict,state,45
007,53,53007-upper,7,upper,StateDistrict,state,7
011,53,53011-upper,11,upper,StateDistrict,state,11
012,53,53012-upper,12,upper,StateDistrict,state,12
016,53,53016-upper,16,upper,StateDistrict,state,16
004,53,53004-upper,4,upper,StateDistrict,state,4
005,53,53005-upper,5,upper,StateDistrict,state,5
026,53,53026-upper,26,upper,StateDistrict,state,26
037,53,53037-upper,37,upper,StateDistrict,state,37
041,53,53041-upper,41,upper,StateDistrict,state,41
010,53,53010-upper,10,upper,StateDistrict,state,10
014,53,53014-upper,14,upper,StateDistrict,state,14
015,53,53015-upper,15,upper,StateDistrict,state,15
017,53,53017-upper,17,upper,StateDistrict,state,17
018,53,53018-upper,18,upper,StateDistrict,state,18
020,53,53020-upper,20,upper,StateDistrict,state,20
024,53,53024-upper,24,upper,StateDistrict,state,24
025,53,53025-upper,25,upper,StateDistrict,state,25
027,53,53027-upper,27,upper,StateDistrict,state,27
029,53,53029-upper,29,upper,StateDistrict,state,29
003,53,53003-upper,3,upper,StateDistrict,state,3
032,53,53032-upper,32,upper,StateDistrict,state,32
033,53,53033-upper,33,upper,StateDistrict,state,33
034,53,53034-upper,34,upper,StateDistrict,state,34
035,53,53035-upper,35,upper,StateDistrict,state,35
040,53,53040-upper,40,upper,StateDistrict,state,40
043,53,53043-upper,43,upper,StateDistrict,state,43
046,53,53046-upper,46,upper,StateDistrict,state,46
048,53,53048-upper,48,upper,StateDistrict,state,48
006,53,53006-upper,6,upper,StateDistrict,state,6
009,53,53009-upper,9,upper,StateDistrict,state,9
013,53,53013-upper,13,upper,StateDistrict,state,13
021,53,53021-upper,21,upper,StateDistrict,state,21
042,53,53042-upper,42,upper,StateDistrict,state,42
049,53,53049-upper,49,upper,StateDistrict,state,49
008,53,53008-upper,8,upper,StateDistrict,state,8
022,53,53022-upper,22,upper,StateDistrict,state,22
030,53,53030-upper,30,upper,StateDistrict,state,30
036,53,53036-upper,36,upper,StateDistrict,state,36
047,53,53047-upper,47,upper,StateDistrict,state,47
