code,state_code,full_code,name,chamber,type,level,open_states_name
003,54,54003-lower,3,lower,StateDistrict,state,3
006,54,54006-lower,6,lower,StateDistrict,state,6
007,54,54007-lower,7,lower,StateDistrict,state,7
009,54,54009-lower,9,lower,StateDistrict,state,9
010,54,54010-lower,10,lower,StateDistrict,state,10
011,54,54011-lower,11,lower,StateDistrict,state,11
012,54,54012-lower,12,lower,StateDistrict,state,12
014,54,54014-lower,14,lower,StateDistrict,state,14
016,54,54016-lower,16,lower,StateDistrict,state,16
017,54,54017-lower,17,lower,StateDistrict,state,17
018,54,54018-lower,18,lower,StateDistrict,state,18
020,54,54020-lower,20,lower,StateDistrict,state,20
021,54,54021-lower,21,lower,StateDistrict,state,21
022,54,54022-lower,22,lower,StateDistrict,state,22
023,54,54023-lower,23,lower,StateDistrict,state,23
025,54,54025-lower,25,lower,StateDistrict,state,25
026,54,54026-lower,26,lower,StateDistrict,state,26
027,54,54027-lower,27,lower,StateDistrict,state,27
028,54,54028-lower,28,lower,StateDistrict,state,28
029,54,54029-lower,29,lower,StateDistrict,state,29
032,54,54032-lower,32,lower,StateDistrict,state,32
033,54,54033-lower,33,lower,StateDistrict,state,33
035,54,54035-lower,35,lower,StateDistrict,state,35
036,54,54036-lower,36,lower,StateDistrict,state,36
040,54,54040-lower,40,lower,StateDistrict,state,40
041,54,54041-lower,41,lower,StateDistrict,state,41
042,54,54042-lower,42,lower,StateDistrict,state,42
043,54,54043-lower,43,lower,StateDistrict,state,43
044,54,54044-lower,44,lower,StateDistrict,state,44
046,54,54046-lower,46,lower,StateDistrict,state,46
047,54,54047-lower,47,lower,StateDistrict,state,47
048,54,54048-lower,48,lower,StateDistrict,state,48
049,54,54049-lower,49,lower,StateDistrict,state,49
051,54,54051-lower,51,lower,StateDistrict,state,51
052,54,54052-lower,52,lower,StateDistrict,state,52
053,54,54053-lower,53,lower,StateDistrict,state,53
054,54,54054-lower,54,lower,StateDistrict,state,54
056,54,54056-lower,56,lower,StateDistrict,state,56
057,54,54057-lower,57,lower,StateDistrict,state,57
058,54,54058-lower,58,lower,StateDistrict,state,58
060,54,54060-lower,60,lower,StateDistrict,state,60
061,54,54061-lower,61,lower,StateDistrict,state,61
063,54,54063-lower,63,lower,StateDistrict,state,63
064,54,54064-lower,64,lower,StateDistrict,state,64
065,54,54065-lower,65,lower,StateDistrict,state,65
066,54,54066-lower,66,lower,StateDistrict,state,66
005,54,54005-lower,5,lower,StateDistrict,state,5
034,54,54034-lower,34,lower,StateDistrict,state,34
037,54,54037-lower,37,lower,StateDistrict,state,37
038,54,54038-lower,38,lower,StateDistrict,state,38
067,54,54067-lower,67,lower,StateDistrict,state,67
030,54,54030-lower,30,lower,StateDistrict,state,30
001,54,54001-lower,1,lower,StateDistrict,state,1
004,54,54004-lower,4,lower,StateDistrict,state,4
008,54,54008-lower,8,lower,StateDistrict,state,8
013,54,54013-lower,13,lower,StateDistrict,state,13
015,54,54015-lower,15,lower,StateDistrict,state,15
019,54,54019-lower,19,lower,StateDistrict,state,19
024,54,54024-lower,24,lower,StateDistrict,state,24
031,54,54031-lower,31,lower,StateDistrict,state,31
039,54,54039-lower,39,lower,StateDistrict,state,39
045,54,54045-lower,45,lower,StateDistrict,state,45
050,54,54050-lower,50,lower,StateDistrict,state,50
055,54,54055-lower,55,lower,StateDistrict,state,55
059,54,54059-lower,59,lower,StateDistrict,state,59
062,54,54062-lower,62,lower,StateDistrict,state,62
002,54,54002-lower,2,lower,StateDistrict,state,2
