code,state_code,full_code,name,chamber,type,level,open_states_name
001,54,54001-upper,1,upper,StateDistrict,state,1
002,54,54002-upper,2,upper,StateDistrict,state,2
005,54,54005-upper,5,upper,StateDistrict,state,5
009,54,54009-upper,9,upper,StateDistrict,state,9
016,54,54016-upper,16,upper,StateDistrict,state,16
003,54,54003-upper,3,upper,StateDistrict,state,3
004,54,54004-upper,4,upper,StateDistrict,state,4
006,54,54006-upper,6,upper,StateDistrict,state,6
008,54,54008-upper,8,upper,StateDistrict,state,8
010,54,54010-upper,10,upper,StateDistrict,state,10
011,54,54011-upper,11,upper,StateDistrict,state,11
012,54,54012-upper,12,upper,StateDistrict,state,12
015,54,54015-upper,15,upper,StateDistrict,state,15
017,54,54017-upper,17,upper,StateDistrict,state,17
013,54,54013-upper,13,upper,StateDistrict,state,13
007,54,54007-upper,7,upper,StateDistrict,state,7
014,54,54014-upper,14,upper,StateDistrict,state,14
