code,state_code,full_code,name,chamber,type,level,open_states_name
015,55,55015-lower,15,lower,StateDistrict,state,15
016,55,55016-lower,16,lower,StateDistrict,state,16
018,55,55018-lower,18,lower,StateDistrict,state,18
020,55,55020-lower,20,lower,StateDistrict,state,20
002,55,55002-lower,2,lower,StateDistrict,state,2
023,55,55023-lower,23,lower,StateDistrict,state,23
026,55,55026-lower,26,lower,StateDistrict,state,26
028,55,55028-lower,28,lower,StateDistrict,state,28
032,55,55032-lower,32,lower,StateDistrict,state,32
033,55,55033-lower,33,lower,StateDistrict,state,33
034,55,55034-lower,34,lower,StateDistrict,state,34
052,55,55052-lower,52,lower,StateDistrict,state,52
065,55,55065-lower,65,lower,StateDistrict,state,65
035,55,55035-lower,35,lower,StateDistrict,state,35
037,55,55037-lower,37,lower,StateDistrict,state,37
038,55,55038-lower,38,lower,StateDistrict,state,38
040,55,55040-lower,40,lower,StateDistrict,state,40
041,55,55041-lower,41,lower,StateDistrict,state,41
043,55,55043-lower,43,lower,StateDistrict,state,43
044,55,55044-lower,44,lower,StateDistrict,state,44
047,55,55047-lower,47,lower,StateDistrict,state,47
048,55,55048-lower,48,lower,StateDistrict,state,48
049,55,55049-lower,49,lower,StateDistrict,state,49
051,55,55051-lower,51,lower,StateDistrict,state,51
005,55,55005-lower,5,lower,StateDistrict,state,5
092,55,55092-lower,92,lower,StateDistrict,state,92
053,55,55053-lower,53,lower,StateDistrict,state,53
056,55,55056-lower,56,lower,StateDistrict,state,56
058,55,55058-lower,58,lower,StateDistrict,state,58
061,55,55061-lower,61,lower,StateDistrict,state,61
006,55,55006-lower,6,lower,StateDistrict,state,6
067,55,55067-lower,67,lower,StateDistrict,state,67
068,55,55068-lower,68,lower,StateDistrict,state,68
070,55,55070-lower,70,lower,StateDistrict,state,70
072,55,55072-lower,72,lower,StateDistrict,state,72
073,55,55073-lower,73,lower,StateDistrict,state,73
074,55,55074-lower,74,lower,StateDistrict,state,74
076,55,55076-lower,76,lower,StateDistrict,state,76
078,55,55078-lower,78,lower,StateDistrict,state,78
080,55,55080-lower,80,lower,StateDistrict,state,80
081,55,55081-lower,81,lower,StateDistrict,state,81
082,55,55082-lower,82,lower,StateDistrict,state,82
085,55,55085-lower,85,lower,StateDistrict,state,85
089,55,55089-lower,89,lower,StateDistrict,state,89
091,55,55091-lower,91,lower,StateDistrict,state,91
009,55,55009-lower,9,lower,StateDistrict,state,9
094,55,55094-lower,94,lower,StateDistrict,state,94
095,55,55095-lower,95,lower,StateDistrict,state,95
096,55,55096-lower,96,lower,StateDistrict,state,96
098,55,55098-lower,98,lower,StateDistrict,state,98
001,55,55001-lower,1,lower,StateDistrict,state,1
014,55,55014-lower,14,lower,StateDistrict,state,14
019,55,55019-lower,19,lower,StateDistrict,state,19
022,55,55022-lower,22,lower,StateDistrict,state,22
024,55,55024-lower,24,lower,StateDistrict,state,24
025,55,55025-lower,25,lower,StateDistrict,state,25
027,55,55027-lower,27,lower,StateDistrict,state,27
030,55,55030-lower,30,lower,StateDistrict,state,30
003,55,55003-lower,3,lower,StateDistrict,state,3
039,55,55039-lower,39,lower,StateDistrict,state,39
004,55,55004-lower,4,lower,StateDistrict,state,4
046,55,55046-lower,46,lower,StateDistrict,state,46
055,55,55055-lower,55,lower,StateDistrict,state,55
057,55,55057-lower,57,lower,StateDistrict,state,57
059,55,55059-lower,59,lower,StateDistrict,state,59
062,55,55062-lower,62,lower,StateDistrict,state,62
063,55,55063-lower,63,lower,StateDistrict,state,63
066,55,55066-lower,66,lower,StateDistrict,state,66
069,55,55069-lower,69,lower,StateDistrict,state,69
075,55,55075-lower,75,lower,StateDistrict,state,75
077,55,55077-lower,77,lower,StateDistrict,state,77
008,55,55008-lower,8,lower,StateDistrict,state,8
083,55,55083-lower,83,lower,StateDistrict,state,83
086,55,55086-lower,86,lower,StateDistrict,state,86
088,55,55088-lower,88,lower,StateDistrict,state,88
090,55,55090-lower,90,lower,StateDistrict,state,90
097,55,55097-lower,97,lower,StateDistrict,state,97
012,55,55012-lower,12,lower,StateDistrict,state,12
013,55,55013-lower,13,lower,StateDistrict,state,13
010,55,55010-lower,10,lower,StateDistrict,state,10
011,55,55011-lower,11,lower,StateDistrict,state,11
017,55,55017-lower,17,lower,StateDistrict,state,17
021,55,55021-lower,21,lower,StateDistrict,state,21
029,55,55029-lower,29,lower,StateDistrict,state,29
031,55,55031-lower,31,lower,StateDistrict,state,31
036,55,55036-lower,36,lower,StateDistrict,state,36
042,55,55042-lower,42,lower,StateDistrict,state,42
045,55,55045-lower,45,lower,StateDistrict,state,45
050,55,55050-lower,50,lower,StateDistrict,state,50
054,55,55054-lower,54,lower,StateDistrict,state,54
060,55,55060-lower,60,lower,StateDistrict,state,60
064,55,55064-lower,64,lower,StateDistrict,state,64
071,55,55071-lower,71,lower,StateDistrict,state,71
007,55,55007-lower,7,lower,StateDistrict,state,7
079,55,55079-lower,79,lower,StateDistrict,state,79
084,55,55084-lower,84,lower,StateDistrict,state,84
087,55,55087-lower,87,lower,StateDistrict,state,87
093,55,55093-lower,93,lower,StateDistrict,state,93
099,55,55099-lower,99,lower,StateDistrict,state,99
