code,state_code,full_code,name,chamber,type,level,open_states_name
010,55,55010-upper,10,upper,StateDistrict,state,10
011,55,55011-upper,11,upper,StateDistrict,state,11
013,55,55013-upper,13,upper,StateDistrict,state,13
014,55,55014-upper,14,upper,StateDistrict,state,14
018,55,55018-upper,18,upper,StateDistrict,state,18
002,55,55002-upper,2,upper,StateDistrict,state,2
023,55,55023-upper,23,upper,StateDistrict,state,23
025,55,55025-upper,25,upper,StateDistrict,state,25
027,55,55027-upper,27,upper,StateDistrict,state,27
028,55,55028-upper,28,upper,StateDistrict,state,28
031,55,55031-upper,31,upper,StateDistrict,state,31
003,55,55003-upper,3,upper,StateDistrict,state,3
032,55,55032-upper,32,upper,StateDistrict,state,32
005,55,55005-upper,5,upper,StateDistrict,state,5
009,55,55009-upper,9,upper,StateDistrict,state,9
001,55,55001-upper,1,upper,StateDistrict,state,1
012,55,55012-upper,12,upper,StateDistrict,state,12
015,55,55015-upper,15,upper,StateDistrict,state,15
017,55,55017-upper,17,upper,StateDistrict,state,17
020,55,55020-upper,20,upper,StateDistrict,state,20
021,55,55021-upper,21,upper,StateDistrict,state,21
022,55,55022-upper,22,upper,StateDistrict,state,22
024,55,55024-upper,24,upper,StateDistrict,state,24
030,55,55030-upper,30,upper,StateDistrict,state,30
033,55,55033-upper,33,upper,StateDistrict,state,33
004,55,55004-upper,4,upper,StateDistrict,state,4
008,55,55008-upper,8,upper,StateDistrict,state,8
019,55,55019-upper,19,upper,StateDistrict,state,19
029,55,55029-upper,29,upper,StateDistrict,state,29
007,55,55007-upper,7,upper,StateDistrict,state,7
016,55,55016-upper,16,upper,StateDistrict,state,16
026,55,55026-upper,26,upper,StateDistrict,state,26
006,55,55006-upper,6,upper,StateDistrict,state,6
