code,state_code,full_code,name,chamber,type,level,open_states_name
021,56,56021-lower,21,lower,StateDistrict,state,21
002,56,56002-lower,2,lower,StateDistrict,state,2
022,56,56022-lower,22,lower,StateDistrict,state,22
026,56,56026-lower,26,lower,StateDistrict,state,26
030,56,56030-lower,30,lower,StateDistrict,state,30
003,56,56003-lower,3,lower,StateDistrict,state,3
033,56,56033-lower,33,lower,StateDistrict,state,33
038,56,56038-lower,38,lower,StateDistrict,state,38
040,56,56040-lower,40,lower,StateDistrict,state,40
050,56,56050-lower,50,lower,StateDistrict,state,50
051,56,56051-lower,51,lower,StateDistrict,state,51
052,56,56052-lower,52,lower,StateDistrict,state,52
054,56,56054-lower,54,lower,StateDistrict,state,54
058,56,56058-lower,58,lower,StateDistrict,state,58
007,56,56007-lower,7,lower,StateDistrict,state,7
020,56,56020-lower,20,lower,StateDistrict,state,20
014,56,56014-lower,14,lower,StateDistrict,state,14
017,56,56017-lower,17,lower,StateDistrict,state,17
012,56,56012-lower,12,lower,StateDistrict,state,12
013,56,56013-lower,13,lower,StateDistrict,state,13
015,56,56015-lower,15,lower,StateDistrict,state,15
019,56,56019-lower,19,lower,StateDistrict,state,19
024,56,56024-lower,24,lower,StateDistrict,state,24
025,56,56025-lower,25,lower,StateDistrict,state,25
027,56,56027-lower,27,lower,StateDistrict,state,27
029,56,56029-lower,29,lower,StateDistrict,state,29
031,56,56031-lower,31,lower,StateDistrict,state,31
032,56,56032-lower,32,lower,StateDistrict,state,32
035,56,56035-lower,35,lower,StateDistrict,state,35
036,56,56036-lower,36,lower,StateDistrict,state,36
039,56,56039-lower,39,lower,StateDistrict,state,39
041,56,56041-lower,41,lower,StateDistrict,state,41
004,56,56004-lower,4,lower,StateDistrict,state,4
042,56,56042-lower,42,lower,StateDistrict,state,42
044,56,56044-lower,44,lower,StateDistrict,state,44
045,56,56045-lower,45,lower,StateDistrict,state,45
046,56,56046-lower,46,lower,StateDistrict,state,46
047,56,56047-lower,47,lower,StateDistrict,state,47
049,56,56049-lower,49,lower,StateDistrict,state,49
053,56,56053-lower,53,lower,StateDistrict,state,53
055,56,56055-lower,55,lower,StateDistrict,state,55
056,56,56056-lower,56,lower,StateDistrict,state,56
057,56,56057-lower,57,lower,StateDistrict,state,57
060,56,56060-lower,60,lower,StateDistrict,state,60
006,56,56006-lower,6,lower,StateDistrict,state,6
009,56,56009-lower,9,lower,StateDistrict,state,9
001,56,56001-lower,1,lower,StateDistrict,state,1
010,56,56010-lower,10,lower,StateDistrict,state,10
011,56,56011-lower,11,lower,StateDistrict,state,11
016,56,56016-lower,16,lower,StateDistrict,state,16
018,56,56018-lower,18,lower,StateDistrict,state,18
023,56,56023-lower,23,lower,StateDistrict,state,23
028,56,56028-lower,28,lower,StateDistrict,state,28
034,56,56034-lower,34,lower,StateDistrict,state,34
037,56,56037-lower,37,lower,StateDistrict,state,37
043,56,56043-lower,43,lower,StateDistrict,state,43
048,56,56048-lower,48,lower,StateDistrict,state,48
005,56,56005-lower,5,lower,StateDistrict,state,5
059,56,56059-lower,59,lower,StateDistrict,state,59
008,56,56008-lower,8,lower,StateDistrict,state,8
