code,state_code,full_code,name,chamber,type,level,open_states_name
011,56,56011-upper,11,upper,StateDistrict,state,11
001,56,56001-upper,1,upper,StateDistrict,state,1
012,56,56012-upper,12,upper,StateDistrict,state,12
013,56,56013-upper,13,upper,StateDistrict,state,13
016,56,56016-upper,16,upper,StateDistrict,state,16
017,56,56017-upper,17,upper,StateDistrict,state,17
019,56,56019-upper,19,upper,StateDistrict,state,19
020,56,56020-upper,20,upper,StateDistrict,state,20
024,56,56024-upper,24,upper,StateDistrict,state,24
026,56,56026-upper,26,upper,StateDistrict,state,26
028,56,56028-upper,28,upper,StateDistrict,state,28
029,56,56029-upper,29,upper,StateDistrict,state,29
030,56,56030-upper,30,upper,StateDistrict,state,30
006,56,56006-upper,6,upper,StateDistrict,state,6
008,56,56008-upper,8,upper,StateDistrict,state,8
009,56,56009-upper,9,upper,StateDistrict,state,9
018,56,56018-upper,18,upper,StateDistrict,state,18
021,56,56021-upper,21,upper,StateDistrict,state,21
002,56,56002-upper,2,upper,StateDistrict,state,2
023,56,56023-upper,23,upper,StateDistrict,state,23
027,56,56027-upper,27,upper,StateDistrict,state,27
003,56,56003-upper,3,upper,StateDistrict,state,3
004,56,56004-upper,4,upper,StateDistrict,state,4
010,56,56010-upper,10,upper,StateDistrict,state,10
015,56,56015-upper,15,upper,StateDistrict,state,15
025,56,56025-upper,25,upper,StateDistrict,state,25
005,56,56005-upper,5,upper,StateDistrict,state,5
014,56,56014-upper,14,upper,StateDistrict,state,14
022,56,56022-upper,22,upper,StateDistrict,state,22
007,56,56007-upper,7,upper,StateDistrict,state,7
