zip,state,district
00601,PR,98
00602,PR,98
00603,PR,98
00606,PR,98
00610,PR,98
00612,PR,98
00616,PR,98
00617,PR,98
00622,PR,98
00623,PR,98
00624,PR,98
00627,PR,98
00631,PR,98
00637,PR,98
00638,PR,98
00641,PR,98
00646,PR,98
00647,PR,98
00650,PR,98
00652,PR,98
00653,PR,98
00656,PR,98
00659,PR,98
00660,PR,98
00662,PR,98
00664,PR,98
00667,PR,98
00669,PR,98
00670,PR,98
00674,PR,98
00676,PR,98
00677,PR,98
00678,PR,98
00680,PR,98
00682,PR,98
00683,PR,98
00685,PR,98
00687,PR,98
00688,PR,98
00690,PR,98
00692,PR,98
00693,PR,98
00694,PR,98
00698,PR,98
00703,PR,98
00704,PR,98
00705,PR,98
00707,PR,98
00714,PR,98
00715,PR,98
00716,PR,98
00717,PR,98
00718,PR,98
00719,PR,98
00720,PR,98
00723,PR,98
00725,PR,98
00727,PR,98
00728,PR,98
00729,PR,98
00730,PR,98
00731,PR,98
00735,PR,98
00736,PR,98
00738,PR,98
00739,PR,98
00740,PR,98
00741,PR,98
00745,PR,98
00751,PR,98
00754,PR,98
00757,PR,98
00765,PR,98
00766,PR,98
00767,PR,98
00769,PR,98
00771,PR,98
00772,PR,98
00773,PR,98
00775,PR,98
00777,PR,98
00778,PR,98
00780,PR,98
00782,PR,98
00783,PR,98
00784,PR,98
00786,PR,98
00791,PR,98
00794,PR,98
00795,PR,98
00901,PR,98
00906,PR,98
00907,PR,98
00909,PR,98
00911,PR,98
00912,PR,98
00913,PR,98
00915,PR,98
00917,PR,98
00918,PR,98
00920,PR,98
00921,PR,98
00923,PR,98
00924,PR,98
00925,PR,98
00926,PR,98
00927,PR,98
00934,PR,98
00936,PR,98
00949,PR,98
00950,PR,98
00951,PR,98
00952,PR,98
00953,PR,98
00956,PR,98
00957,PR,98
00959,PR,98
00960,PR,98
00961,PR,98
00962,PR,98
00965,PR,98
00966,PR,98
00968,PR,98
00969,PR,98
00971,PR,98
00976,PR,98
00979,PR,98
00982,PR,98
00983,PR,98
00985,PR,98
00987,PR,98
01001,MA,02
01002,MA,01
01003,MA,01
01005,MA,01
01007,MA,01
01008,MA,01
01009,MA,02
01010,MA,02
01011,MA,01
01012,MA,01
01013,MA,02
01020,MA,02
01022,MA,02
01026,MA,01
01027,MA,01
01028,MA,02
01029,MA,01
01030,MA,02
01031,MA,01
01032,MA,01
01033,MA,01
01034,MA,01
01035,MA,02
01036,MA,02
01037,MA,01
01038,MA,01
01039,MA,01
01040,MA,01
01050,MA,01
01053,MA,02
01054,MA,01
01056,MA,02
01057,MA,02
01060,MA,02
01062,MA,02
01063,MA,02
01066,MA,01
01068,MA,01
01069,MA,02
01070,MA,01
01071,MA,01
01072,MA,01
01073,MA,01
01074,MA,01
01075,MA,01
01075,MA,02
01077,MA,01
01079,MA,02
01080,MA,02
01081,MA,02
01082,MA,01
01083,MA,02
01084,MA,01
01085,MA,01
01086,MA,01
01088,MA,01
01089,MA,01
01092,MA,02
01093,MA,01
01094,MA,01
01095,MA,02
01096,MA,01
01097,MA,01
01098,MA,01
01103,MA,02
01104,MA,02
01105,MA,02
01106,MA,02
01107,MA,02
01108,MA,02
01109,MA,02
01118,MA,02
01119,MA,02
01128,MA,02
01129,MA,02
01151,MA,02
01199,MA,02
01201,MA,01
01220,MA,01
01222,MA,01
01223,MA,01
01224,MA,01
01225,MA,01
01226,MA,01
01229,MA,01
01230,MA,01
01235,MA,01
01236,MA,01
01237,MA,01
01238,MA,01
01240,MA,01
01242,MA,01
01243,MA,01
01244,MA,01
01245,MA,01
01247,MA,01
01253,MA,01
01254,MA,01
01255,MA,01
01256,MA,01
01257,MA,01
01258,MA,01
01259,MA,01
01260,MA,01
01262,MA,01
01264,MA,01
01266,MA,01
01267,MA,01
01270,MA,01
01301,MA,01
01330,MA,01
01331,MA,01
01337,MA,01
01338,MA,01
01339,MA,01
01340,MA,01
01341,MA,01
01342,MA,01
01343,MA,01
01344,MA,01
01346,MA,01
01347,MA,01
01349,MA,01
01350,MA,01
01351,MA,01
01354,MA,01
01355,MA,01
01360,MA,01
01364,MA,01
01366,MA,01
01367,MA,01
01368,MA,01
01370,MA,01
01373,MA,01
01375,MA,01
01376,MA,01
01378,MA,01
01379,MA,01
01420,MA,01
01430,MA,01
01431,MA,01
01432,MA,05
01434,MA,05
01436,MA,01
01438,MA,01
01440,MA,01
01450,MA,05
01451,MA,05
01452,MA,01
01453,MA,01
01453,MA,05
01460,MA,05
01462,MA,01
01463,MA,01
01464,MA,05
01467,MA,05
01468,MA,01
01469,MA,01
01473,MA,01
01474,MA,01
01475,MA,01
01501,MA,03
01503,MA,05
01504,MA,02
01505,MA,03
01506,MA,02
01507,MA,02
01510,MA,03
01515,MA,02
01516,MA,02
01518,MA,02
01519,MA,02
01520,MA,03
01521,MA,02
01522,MA,03
01523,MA,05
01524,MA,02
01525,MA,02
01527,MA,02
01527,MA,03
01529,MA,02
01531,MA,01
01532,MA,03
01534,MA,02
01535,MA,02
01536,MA,02
01536,MA,03
01537,MA,02
01540,MA,02
01541,MA,03
01542,MA,02
01543,MA,03
01545,MA,03
01550,MA,02
01560,MA,02
01561,MA,05
01562,MA,02
01564,MA,01
01566,MA,02
01568,MA,02
01569,MA,02
01570,MA,02
01571,MA,02
01581,MA,03
01583,MA,03
01585,MA,01
01585,MA,02
01588,MA,02
01590,MA,02
01602,MA,03
01603,MA,03
01604,MA,02
01604,MA,03
01605,MA,03
01606,MA,03
01607,MA,02
01607,MA,03
01608,MA,03
01609,MA,03
01610,MA,03
01611,MA,02
01612,MA,03
01701,MA,07
01702,MA,07
01718,MA,05
01719,MA,05
01720,MA,05
01721,MA,03
01730,MA,06
01730,MA,07
01731,MA,06
01731,MA,07
01740,MA,05
01741,MA,05
01742,MA,05
01745,MA,03
01746,MA,03
01747,MA,02
01748,MA,03
01749,MA,05
01752,MA,03
01754,MA,05
01756,MA,02
01757,MA,02
01760,MA,05
01760,MA,07
01770,MA,04
01772,MA,03
01773,MA,05
01773,MA,07
01775,MA,05
01776,MA,05
01778,MA,05
01778,MA,07
01801,MA,06
01801,MA,07
01803,MA,06
01810,MA,05
01810,MA,06
01821,MA,05
01824,MA,05
01826,MA,05
01827,MA,05
01830,MA,05
01832,MA,05
01833,MA,06
01834,MA,06
01835,MA,05
01840,MA,05
01841,MA,05
01841,MA,06
01843,MA,05
01843,MA,06
01844,MA,05
01845,MA,05
01845,MA,06
01850,MA,05
01851,MA,05
01852,MA,05
01854,MA,05
01860,MA,06
01862,MA,05
01863,MA,05
01864,MA,06
01867,MA,06
01876,MA,05
01879,MA,05
01880,MA,06
01886,MA,05
01887,MA,06
01890,MA,07
01901,MA,06
01902,MA,06
01904,MA,06
01905,MA,06
01906,MA,06
01907,MA,06
01908,MA,06
01913,MA,06
01915,MA,06
01921,MA,06
01922,MA,06
01923,MA,06
01929,MA,06
01930,MA,06
01937,MA,06
01938,MA,06
01940,MA,06
01944,MA,06
01945,MA,06
01949,MA,06
01950,MA,06
01951,MA,06
01952,MA,06
01960,MA,06
01966,MA,06
01969,MA,06
01970,MA,06
01982,MA,06
01983,MA,06
01984,MA,06
01985,MA,06
02019,MA,02
02021,MA,09
02026,MA,09
02030,MA,04
02032,MA,09
02035,MA,04
02038,MA,03
02048,MA,04
02052,MA,09
02053,MA,03
02054,MA,04
02056,MA,04
02062,MA,09
02067,MA,04
02071,MA,04
02071,MA,09
02072,MA,04
02072,MA,09
02081,MA,04
02081,MA,09
02090,MA,09
02093,MA,03
02108,MA,09
02109,MA,08
02109,MA,09
02110,MA,08
02110,MA,09
02111,MA,08
02113,MA,08
02113,MA,09
02114,MA,08
02114,MA,09
02115,MA,08
02116,MA,08
02118,MA,08
02118,MA,09
02119,MA,08
02120,MA,08
02121,MA,08
02122,MA,08
02122,MA,09
02124,MA,08
02124,MA,09
02125,MA,08
02125,MA,09
02126,MA,08
02126,MA,09
02127,MA,08
02127,MA,09
02128,MA,07
02128,MA,08
02129,MA,08
02130,MA,08
02130,MA,09
02131,MA,08
02131,MA,09
02132,MA,09
02134,MA,08
02135,MA,08
02136,MA,08
02136,MA,09
02138,MA,07
02138,MA,08
02139,MA,08
02140,MA,08
02141,MA,08
02142,MA,08
02143,MA,08
02144,MA,08
02145,MA,07
02145,MA,08
02148,MA,07
02149,MA,07
02149,MA,08
02150,MA,08
02151,MA,07
02151,MA,08
02152,MA,07
02152,MA,08
02155,MA,07
02155,MA,08
02163,MA,08
02176,MA,07
02180,MA,07
02184,MA,09
02186,MA,09
02199,MA,08
02203,MA,09
02210,MA,08
02210,MA,09
02215,MA,04
02215,MA,08
02301,MA,09
02302,MA,09
02322,MA,09
02324,MA,09
02333,MA,09
02338,MA,04
02341,MA,09
02343,MA,09
02346,MA,04
02347,MA,04
02351,MA,09
02356,MA,09
02357,MA,09
02368,MA,09
02375,MA,04
02375,MA,09
02379,MA,09
02382,MA,09
02420,MA,07
02421,MA,07
02445,MA,04
02446,MA,04
02451,MA,07
02452,MA,07
02453,MA,07
02457,MA,04
02458,MA,04
02459,MA,04
02460,MA,04
02461,MA,04
02462,MA,04
02464,MA,04
02465,MA,04
02466,MA,04
02467,MA,04
02467,MA,08
02467,MA,09
02468,MA,04
02472,MA,04
02472,MA,07
02472,MA,08
02474,MA,07
02476,MA,07
02478,MA,07
02481,MA,04
02482,MA,04
02492,MA,04
02492,MA,09
02493,MA,07
02494,MA,09
02532,MA,04
02538,MA,04
02558,MA,04
02571,MA,04
02576,MA,04
02702,MA,04
02703,MA,03
02715,MA,03
02715,MA,04
02717,MA,04
02718,MA,04
02719,MA,04
02720,MA,03
02720,MA,04
02721,MA,03
02721,MA,04
02723,MA,03
02723,MA,04
02724,MA,03
02725,MA,03
02726,MA,03
02738,MA,04
02739,MA,04
02740,MA,04
02743,MA,04
02744,MA,04
02745,MA,04
02746,MA,04
02747,MA,04
02748,MA,04
02760,MA,03
02760,MA,04
