state,chamber,name,code
DC,upper,Ward 1,dc-upper-Ward 1
DC,upper,Ward 2,dc-upper-Ward 2
DC,upper,Ward 3,dc-upper-Ward 3
DC,upper,Ward 4,dc-upper-Ward 4
DC,upper,Ward 5,dc-upper-Ward 5
DC,upper,Ward 6,dc-upper-Ward 6
DC,upper,Ward 7,dc-upper-Ward 7
DC,upper,Ward 8,dc-upper-Ward 8
DC,upper,At-Large,dc-upper-At-Large
DC,upper,Chairman,dc-upper-Chairman
MA,lower,Tenth Bristol,ma-lower-Tenth Bristol
MA,lower,Tenth Essex,ma-lower-Tenth Essex
MA,lower,Tenth Hampden,ma-lower-Tenth Hampden
MA,lower,Tenth Middlesex,ma-lower-Tenth Middlesex
MA,lower,Tenth Norfolk,ma-lower-Tenth Norfolk
MA,lower,Tenth Plymouth,ma-lower-Tenth Plymouth
MA,lower,Tenth Suffolk,ma-lower-Tenth Suffolk
MA,lower,Tenth Worcester,ma-lower-Tenth Worcester
MA,lower,Eleventh Bristol,ma-lower-Eleventh Bristol
MA,lower,Eleventh Essex,ma-lower-Eleventh Essex
MA,lower,Eleventh Hampden,ma-lower-Eleventh Hampden
MA,lower,Eleventh Middlesex,ma-lower-Eleventh Middlesex
MA,lower,Eleventh Norfolk,ma-lower-Eleventh Norfolk
MA,lower,Eleventh Plymouth,ma-lower-Eleventh Plymouth
MA,lower,Eleventh Suffolk,ma-lower-Eleventh Suffolk
MA,lower,Eleventh Worcester,ma-lower-Eleventh Worcester
MA,lower,Twelfth Bristol,ma-lower-Twelfth Bristol
MA,lower,Twelfth Essex,ma-lower-Twelfth Essex
MA,lower,Twelfth Hampden,ma-lower-Twelfth Hampden
MA,lower,Twelfth Middlesex,ma-lower-Twelfth Middlesex
MA,lower,Twelfth Norfolk,ma-lower-Twelfth Norfolk
MA,lower,Twelfth Plymouth,ma-lower-Twelfth Plymouth
MA,lower,Twelfth Suffolk,ma-lower-Twelfth Suffolk
MA,lower,Twelfth Worcester,ma-lower-Twelfth Worcester
MA,lower,Thirteenth Bristol,ma-lower-Thirteenth Bristol
MA,lower,Thirteenth Essex,ma-lower-Thirteenth Essex
MA,lower,Thirteenth Middlesex,ma-lower-Thirteenth Middlesex
MA,lower,Thirteenth Norfolk,ma-lower-Thirteenth Norfolk
MA,lower,Thirteenth Suffolk,ma-lower-Thirteenth Suffolk
MA,lower,Thirteenth Worcester,ma-lower-Thirteenth Worcester
MA,lower,Fourteenth Bristol,ma-lower-Fourteenth Bristol
MA,lower,Fourteenth Essex,ma-lower-Fourteenth Essex
MA,lower,Fourteenth Middlesex,ma-lower-Fourteenth Middlesex
MA,lower,Fourteenth Norfolk,ma-lower-Fourteenth Norfolk
MA,lower,Fourteenth Suffolk,ma-lower-Fourteenth Suffolk
MA,lower,Fourteenth Worcester,ma-lower-Fourteenth Worcester
MA,lower,Fifteenth Essex,ma-lower-Fifteenth Essex
MA,lower,Fifteenth Middlesex,ma-lower-Fifteenth Middlesex
MA,lower,Fifteenth Norfolk,ma-lower-Fifteenth Norfolk
MA,lower,Fifteenth Suffolk,ma-lower-Fifteenth Suffolk
MA,lower,Fifteenth Worcester,ma-lower-Fifteenth Worcester
MA,lower,Sixteenth Essex,ma-lower-Sixteenth Essex
MA,lower,Sixteenth Middlesex,ma-lower-Sixteenth Middlesex
MA,lower,Sixteenth Suffolk,ma-lower-Sixteenth Suffolk
MA,lower,Sixteenth Worcester,ma-lower-Sixteenth Worcester
MA,lower,Seventeenth Essex,ma-lower-Seventeenth Essex
MA,lower,Seventeenth Middlesex,ma-lower-Seventeenth Middlesex
